,item_id,model_id,env_id,correct
0,0fd01b97-5f43-503f-8659-61636e47397e-000-000-068,Claude-4.5,spectra,0.0
1,c2b72291-5885-5578-adae-da7182aab0f6-000-000-051,Claude-4.5,spectra,1.0
2,4fc849ac-e14a-52af-9fad-9e381a1ee8a5-000-000-018,Claude-4.5,spectra,0.0
3,b74f2fb6-06e8-5ce8-88fc-7851c8c2076c-000-000-041,Claude-4.5,spectra,1.0
4,5f5bf723-48f6-5568-85af-1d3e198b830a-000-000-078,Claude-4.5,spectra,1.0
5,7ca407bf-de7f-58b1-957a-385ad100100-000-000-001,Claude-4.5,spectra,1.0
6,ccbeb585-2e2a-57b1-97f0-1331349f1ef6-000-000-102,Claude-4.5,spectra,0.0
7,7ca407bf-de7f-58b1-957a-385ad100102-000-000-005,Claude-4.5,spectra,0.0
8,19208a99-0ee9-5f84-88fa-0f18e1f65600-000-000-084,Claude-4.5,spectra,1.0
9,df2219f0-db77-57cd-8618-f02e4031284a-000-000-059,Claude-4.5,spectra,1.0
10,619deaa9-8214-5e15-be35-2b87889602dc-000-000-033,Claude-4.5,spectra,0.0
11,7ca407bf-de7f-58b1-957a-385ad112a241-000-000-047,Claude-4.5,spectra,0.0
12,3aa3cfa5-431d-53ea-9fe0-53ded5f19c99-000-000-022,Claude-4.5,spectra,1.0
13,17ea42f6-8531-53a2-be86-1f433be4e3df-000-000-100,Claude-4.5,spectra,0.0
14,2955b665-be6d-598e-9f92-50686f8ec0d3-000-000-012,Claude-4.5,spectra,0.0
15,c0c4e62c-d95e-5886-913e-17626f808c49-000-000-063,Claude-4.5,spectra,1.0
16,71ca43c0-a7e5-595c-91d0-6c6313ae2612-000-000-071,Claude-4.5,spectra,1.0
17,c0c4e62c-d95e-5886-913e-17626f808c49-000-000-062,Claude-4.5,spectra,1.0
18,2955b665-be6d-598e-9f92-50686f8ec0d3-000-000-013,Claude-4.5,spectra,1.0
19,3aa3cfa5-431d-53ea-9fe0-53ded5f19c99-000-000-023,Claude-4.5,spectra,0.0
20,619deaa9-8214-5e15-be35-2b87889602dc-000-000-032,Claude-4.5,spectra,1.0
21,7ca407bf-de7f-58b1-957a-385ad112a241-000-000-046,Claude-4.5,spectra,1.0
22,7ca407bf-de7f-58b1-957a-385ad112a241-000-000-050,Claude-4.5,spectra,1.0
23,df2219f0-db77-57cd-8618-f02e4031284a-000-000-058,Claude-4.5,spectra,1.0
24,19208a99-0ee9-5f84-88fa-0f18e1f65600-000-000-085,Claude-4.5,spectra,1.0
25,ccbeb585-2e2a-57b1-97f0-1331349f1ef6-000-000-103,Claude-4.5,spectra,1.0
26,5f5bf723-48f6-5568-85af-1d3e198b830a-000-000-080,Claude-4.5,spectra,1.0
27,5f5bf723-48f6-5568-85af-1d3e198b830a-000-000-079,Claude-4.5,spectra,1.0
28,4fc849ac-e14a-52af-9fad-9e381a1ee8a5-000-000-019,Claude-4.5,spectra,1.0
29,0fd01b97-5f43-503f-8659-61636e47397e-000-000-069,Claude-4.5,spectra,1.0
30,988bc101-17a0-5af8-8218-eb69eb4e5045-000-000-091,Claude-4.5,spectra,0.0
31,d0158cf6-3b1f-529d-8239-eeacf9df85dc-000-000-037,Claude-4.5,spectra,1.0
32,619deaa9-8214-5e15-be35-2b87889602dc-000-000-035,Claude-4.5,spectra,1.0
33,3aa3cfa5-431d-53ea-9fe0-53ded5f19c99-000-000-024,Claude-4.5,spectra,1.0
34,0981e386-2cc1-5446-9615-a35a6d904031-000-000-010,Claude-4.5,spectra,1.0
35,2955b665-be6d-598e-9f92-50686f8ec0d3-000-000-014,Claude-4.5,spectra,1.0
36,5960e374-6b50-50d7-89b8-0a72a9f95644-000-000-027,Claude-4.5,spectra,1.0
37,0981e386-2cc1-5446-9615-a35a6d904031-000-000-006,Claude-4.5,spectra,1.0
38,c0c4e62c-d95e-5886-913e-17626f808c49-000-000-065,Claude-4.5,spectra,1.0
39,17ea42f6-8531-53a2-be86-1f433be4e3df-000-000-096,Claude-4.5,spectra,1.0
40,e21d4d9e-25e1-5537-a2b2-47a28fbefa5d-000-000-088,Claude-4.5,spectra,1.0
41,ccbeb585-2e2a-57b1-97f0-1331349f1ef6-000-000-104,Claude-4.5,spectra,0.0
42,d0158cf6-3b1f-529d-8239-eeacf9df85dc-000-000-040,Claude-4.5,spectra,1.0
43,19208a99-0ee9-5f84-88fa-0f18e1f65600-000-000-082,Claude-4.5,spectra,1.0
44,19208a99-0ee9-5f84-88fa-0f18e1f65600-000-000-083,Claude-4.5,spectra,1.0
45,7ca407bf-de7f-58b1-957a-385ad100102-000-000-002,Claude-4.5,spectra,1.0
46,ccbeb585-2e2a-57b1-97f0-1331349f1ef6-000-000-105,Claude-4.5,spectra,1.0
