feature,u_statistic,p_value,significant,effect_size_r,success_median,failure_median,median_diff
avg_message_length,2286.0,1.9077542780846862e-07,True,-0.6235795454545454,1991.0357142857142,1089.75,901.2857142857142
avg_assistant_message_length,2286.0,1.9077542780846862e-07,True,-0.6235795454545454,1991.0357142857142,1089.75,901.2857142857142
message_length_std,2272.0,2.9762475496250675e-07,True,-0.6136363636363635,3020.1076040878993,813.3477605867331,2206.759843501166
total_message_length,2228.0,1.1515256246572509e-06,True,-0.5823863636363635,28743.5,15256.5,13487.0
avg_words_per_message,2168.0,6.553532381438102e-06,True,-0.5397727272727273,119.21428571428572,70.75,48.46428571428572
prompt_tokens,2132.0,1.754562430935546e-05,True,-0.5142045454545454,27055.5,14750.0,12305.5
total_tokens,2132.0,1.754562430935546e-05,True,-0.5142045454545454,27449.0,14814.5,12634.5
marker_balance_ratio,2100.0,3.464460379556877e-05,True,-0.4914772727272727,0.375,0.27329192546583847,0.10170807453416153
positive_marker_ratio,2056.0,0.00010542128737541187,True,-0.4602272727272727,0.375,0.2857142857142857,0.0892857142857143
marker_balance,1998.0,0.0003697802716522932,True,-0.41903409090909083,3.0,2.0,1.0
tool_diversity_entropy,1982.0,0.000549826519853864,True,-0.4076704545454546,2.826352929340021,2.584962500721156,0.24139042861886484
backtrack_after_error_rate,1232.0,0.0008104118841413996,True,0.125,0.0,0.0,0.0
backtrack_to_total_ratio,1232.0,0.0008104118841413996,True,0.125,0.0,0.0,0.0
successful_calls,1958.0,0.0008623172462611246,True,-0.390625,8.0,6.0,2.0
tools_used_count,1900.0,0.0023731031811819237,True,-0.3494318181818181,8.0,6.5,1.5
thought_to_action_ratio,942.0,0.002981181449478873,True,0.33096590909090906,0.0,1.0857142857142859,-1.0857142857142859
total_markers,1884.0,0.0034935251421475007,True,-0.3380681818181819,8.0,7.0,1.0
give_up_count,1276.0,0.0039047691040286535,True,0.09375,0.0,0.0,0.0
positive_marker_count,1878.5,0.004013479057916154,True,-0.3341619318181819,3.0,2.0,1.0
error_burstiness,1100.0,0.0049108823774193285,True,0.21875,0.0,0.0,0.0
max_consecutive_failures,1100.0,0.0049108823774193285,True,0.21875,0.0,0.0,0.0
max_consecutive_successes,1872.0,0.005238661172457626,True,-0.3295454545454546,14.0,12.0,2.0
total_errors,1106.0,0.00581996791441451,True,0.21448863636363635,0.0,0.0,0.0
failed_calls,1106.0,0.00581996791441451,True,0.21448863636363635,0.0,0.0,0.0
negative_marker_count,1048.5,0.006018001551576488,True,0.2553267045454546,0.0,0.0,0.0
total_calls,1860.0,0.006388203921306173,True,-0.3210227272727273,8.0,6.5,1.5
neutral_marker_ratio,958.0,0.007089223702521524,True,0.3196022727272727,0.625,0.7142857142857143,-0.0892857142857143
avg_tools_per_step,1850.0,0.007913534802021898,True,-0.3139204545454546,0.56,0.5227272727272727,0.037272727272727346
success_rate,1698.0,0.00812222307998168,True,-0.20596590909090917,1.0,1.0,0.0
error_rate,1118.0,0.00812222307998168,True,0.20596590909090906,0.0,0.0,0.0
inefficient_tool_call_count,1125.5,0.009790071935577103,True,0.20063920454545459,0.0,0.0,0.0
steps_to_first_error,1128.0,0.010183609921881212,True,0.19886363636363635,-1.0,-1.0,0.0
has_tool_error_in_first_step,1128.0,0.010183609921881212,True,0.19886363636363635,0.0,0.0,0.0
assistant_steps_to_first_error,1128.0,0.010183609921881212,True,0.19886363636363635,-1.0,-1.0,0.0
assistant_steps_count,1792.0,0.017027580908877613,True,-0.2727272727272727,16.0,14.0,2.0
validation_attempt_count,1713.0,0.01879941407176276,True,-0.21661931818181812,0.0,0.0,0.0
