feature,correlation,p_value,significant,abs_correlation,cohens_d,success_mean,failure_mean,n_success,n_failure
message_length_std,0.516677714673651,1.531451826713867e-09,True,0.516677714673651,1.3643748131826723,2751.0211816741726,1304.4576900723291,88,32
avg_message_length,0.4681692204589849,6.96683798802866e-08,True,0.4681692204589849,1.1967348353107312,1809.5958456947092,1049.4582589285715,88,32
avg_assistant_message_length,0.4681692204589849,6.96683798802866e-08,True,0.4681692204589849,1.1967348353107312,1809.5958456947092,1049.4582589285715,88,32
total_message_length,0.4130186631413144,2.75773027931149e-06,True,0.4130186631413144,1.0245145134968665,31365.909090909092,17619.125,88,32
avg_words_per_message,0.40849546104205187,3.6263981374818546e-06,True,0.40849546104205187,1.0109488763863497,108.3022135061908,67.21405235389611,88,32
tool_diversity_entropy,0.3822357134999729,1.646507676183917e-05,True,0.3822357134999729,0.9403502770986528,2.84327614126922,2.573998743983932,88,32
marker_balance_ratio,0.34792668772455515,9.867272396253604e-05,True,0.34792668772455515,0.8397654478354285,0.35896868283231914,0.18856489977413887,88,32
max_consecutive_failures,-0.34129732516338096,0.0001362973089281418,True,0.34129732516338096,-0.8261997733757364,0.18181818181818182,1.25,88,32
error_burstiness,-0.34129732516338096,0.0001362973089281418,True,0.34129732516338096,-0.8261997733757364,0.18181818181818182,1.25,88,32
positive_marker_ratio,0.3236049146177025,0.00031176553305715325,True,0.3236049146177025,0.7720809314113907,0.37685799049435414,0.2553633187464709,88,32
backtrack_after_error_rate,-0.3017608368377292,0.0008096922786434027,True,0.3017608368377292,-0.7211151440256014,0.0,0.034722222222222224,88,32
backtrack_to_total_ratio,-0.30176083683772914,0.0008096922786434027,True,0.30176083683772914,-0.7211151440256012,0.0,0.00744047619047619,88,32
failed_calls,-0.29946440071789926,0.0008914172531153319,True,0.29946440071789926,-0.7138396721148715,0.20454545454545456,1.125,88,32
total_errors,-0.29946440071789926,0.0008914172531153319,True,0.29946440071789926,-0.7138396721148715,0.20454545454545456,1.125,88,32
negative_marker_count,-0.2919234571831095,0.001215747057073572,True,0.2919234571831095,-0.6941052382018722,0.3068181818181818,1.28125,88,32
marker_balance,0.2833300128008579,0.0017141211214355616,True,0.2833300128008579,0.6679402472354327,3.272727272727273,1.9375,88,32
success_rate,0.2725999667614041,0.0025937002069193553,True,0.2725999667614041,0.6446906551054028,0.9810557498057498,0.8952628968253968,88,32
error_rate,-0.2725999667614041,0.0025937002069193553,True,0.2725999667614041,-0.6446906551054026,0.018944250194250195,0.10473710317460318,88,32
give_up_count,-0.2655425022718971,0.0033761207872514054,True,0.2655425022718971,-0.6275116385432467,0.0,0.09375,88,32
tools_used_count,0.2500325584425422,0.005883771547022481,True,0.2500325584425422,0.5857821603637657,7.431818181818182,6.75,88,32
