feature,u_statistic,p_value,significant,effect_size_r,success_median,failure_median,median_diff
level,1871.5,3.36653373550556e-31,True,0.7823710680853538,1.0,2.0,-1.0
assistant_steps_to_first_tool_call,14531.5,9.411561500509592e-25,True,-0.6898075469504041,4.0,2.0,2.0
uncertainty_marker_count,3806.5,8.216565449116235e-18,True,0.5573579859294144,0.0,6.0,-6.0
uncertainty_marker_ratio,3886.0,2.88051688183734e-17,True,0.5481132623989766,0.0,0.25,-0.25
prompt_tokens,3646.0,5.952434853863503e-15,True,0.5760218617361474,12403.0,28429.0,-16026.0
total_tokens,3699.0,1.150794973978868e-14,True,0.5698587127158556,12744.0,28843.0,-16099.0
hallucination_count,4973.5,4.121680399726388e-14,True,0.42165242165242167,0.0,1.0,-1.0
give_up_count,6082.5,3.113923656350852e-13,True,0.29269143554857846,0.0,0.0,0.0
early_final_answer_count,5698.0,1.6463042749585582e-12,True,0.3374033374033374,0.0,0.0,0.0
problem_marker_ratio,4175.0,2.9719490662091146e-12,True,0.5145066573638002,0.1111111111111111,0.3333333333333333,-0.2222222222222222
step_count,4451.0,5.5275819070711346e-11,True,0.4824117681260538,17.0,33.0,-16.0
problem_marker_count,4623.5,2.485871947356306e-10,True,0.4623524623524623,2.0,6.0,-4.0
backtrack_trigger_count,5705.5,3.888515414207622e-10,True,0.3365311936740508,0.0,0.0,0.0
total_calls,4750.0,1.1133080384456806e-09,True,0.447642304785162,7.0,15.0,-8.0
negative_marker_count,4888.0,4.35515642520952e-09,True,0.4315948601662888,4.0,9.0,-5.0
assistant_steps_to_first_error,5837.5,6.568234505203112e-09,True,0.3211814640386069,-1.0,-1.0,0.0
successful_calls,4956.0,8.090792773751294e-09,True,0.42368742368742374,7.0,14.0,-7.0
neutral_marker_count,5056.5,1.2504765004585717e-08,True,0.4120006977149834,1.0,3.0,-2.0
steps_to_first_error,5920.5,1.9584099716590615e-08,True,0.31152974010116863,-1.0,-1.0,0.0
neutral_count,5210.0,5.018672200204156e-08,True,0.3941508227222513,1.0,3.0,-2.0
wrong_reasoning_count,5768.5,8.727642544339844e-08,True,0.3292051863480435,0.0,1.0,-1.0
backtrack_to_total_ratio,6220.0,1.2021412148288693e-07,True,0.276702133844991,0.0,0.0,0.0
total_markers,5295.5,1.8345552010854084e-07,True,0.3842083842083842,9.0,15.0,-6.0
error_burstiness,6207.0,4.6715940830178035e-07,True,0.278213849642421,0.0,0.0,0.0
max_consecutive_failures,6207.0,4.6715940830178035e-07,True,0.278213849642421,0.0,0.0,0.0
total_errors,6200.0,4.7423975563797516e-07,True,0.27902785045642187,0.0,0.0,0.0
