feature,logreg,rf,xgb,avg_importance
retry_rate,0.5049705560554926,1.0,0.33701596804024353,0.613995508031912
avg_tools_per_step,1.0,0.3336910510915549,0.11516531992954425,0.4829521236736997
tool_execution_duration,0.7969138687013466,0.4380330610685607,0.18187415737785717,0.47227369571592154
tool_latency_mean,0.856582402697399,0.33169733611888036,0.09237344158974445,0.4268843934686746
annotatable_steps_count,0.8017842099919458,0.3166321582365614,0.11080070064574825,0.4097390229580851
has_planning_in_first_step,0.17703378398030728,0.03567602624473746,1.0,0.4042366034083482
tool_latency_std,0.7793843135375785,0.28537870627501477,0.018931968681349165,0.36123166283131414
tool_latency_max,0.7583537251224279,0.21386757545792512,0.02640433592496634,0.3328752121684398
assistant_steps_to_first_error,0.5313568960443198,0.12239501283657629,0.2392881668134752,0.2976800252314571
tools_used_count,0.5342807446856503,0.06890787019178339,0.2470103454981112,0.283399653458515
avg_words_per_message,0.053132794431091354,0.07582578078930578,0.6558307830990624,0.2615964527731532
steps_to_first_planning,0.41077388182847346,0.03141443339058713,0.21822880246543633,0.22013903922816566
total_message_length,0.346716961886131,0.13024122939915075,0.12560263985661796,0.20085361038063324
level,0.5174182272414052,0.03930350939093185,0.04103345041987378,0.19925172901740362
assistant_steps_count,0.49263202446327997,0.05086972290128079,0.03192504231060747,0.19180892989172274
total_tokens,0.31996571918141736,0.11124275459288224,0.12383549195236342,0.18501465524222102
marker_balance,0.2832912954514746,0.10746864353588834,0.13090217919315594,0.17388737272683963
uncertainty_marker_ratio,0.23467714899474734,0.16828983616330023,0.11299749641436838,0.17198816052413865
prompt_tokens,0.31932932948293535,0.133255209077132,0.051105876421217965,0.16789680499376178
message_length_std,0.32658811283586336,0.10838810838779181,0.04005066876031387,0.15834229666132302
