feature,logreg,rf,xgb,avg_importance
level,1.0,0.7303768751784468,0.9665092973232531,0.8989620575005666
assistant_steps_to_first_tool_call,0.3783133773677177,1.0,1.0,0.7927711257892393
give_up_count,0.8009946570119738,0.33019553507890537,0.15236557871186976,0.42785192360091634
uncertainty_marker_count,0.30603638638057257,0.47468551542813436,0.43255729776814367,0.4044263998589502
early_final_answer_count,0.7902697984786988,0.13149324367684642,0.25547748419634664,0.39241350878396397
assistant_steps_count,0.5930569627353283,0.1791131856492632,0.164575345586199,0.3122484979902635
retry_rate,0.5053336587487661,0.2307920493426956,0.132326826760187,0.2894841782838829
most_used_tool_count,0.42134723830984194,0.13770340540788947,0.2833737268884285,0.2808081235353866
total_tokens,0.1433696580299789,0.5477532922251155,0.12538939226694445,0.27217078084067964
positive_marker_ratio,0.31094215093886635,0.30137323615322903,0.19369908179584316,0.26867148962931287
hallucination_count,0.3155656022023525,0.2632163237201109,0.20294619444294157,0.26057604012180163
uncertainty_marker_ratio,0.1502776782261193,0.5646703186360229,0.061309162436633355,0.25875238643292514
has_tool_error_in_first_step,0.36586916207830134,0.038120943358728086,0.32261043039905357,0.24220017861202767
annotatable_steps_count,0.30667516305359993,0.3124404631379529,0.10310094849871554,0.24073885823008945
prompt_tokens,0.14408702249759242,0.4326065081033831,0.14023945729184242,0.2389776626309393
message_length_std,0.35823043584578484,0.19251106426340606,0.14754843276943747,0.23276331095954275
tool_execution_duration,0.3350935893694932,0.12056211305258097,0.1819905168114627,0.21254873974451227
problem_marker_ratio,0.12835352403333328,0.34721332158228363,0.09227665212654239,0.18928116591405308
negative_marker_count,0.18371496508910787,0.3183437381704535,0.05946190602649287,0.18717353642868476
code_block_count,0.2997722576513439,0.028163763168483135,0.2289477924906342,0.18562793777015374
