feature,coefficient,abs_coefficient
planning_to_total_ratio,-1.107630861919824,1.107630861919824
level,-1.029615194335616,1.029615194335616
neutral_marker_ratio,0.8774239543108597,0.8774239543108597
assistant_steps_to_first_tool_call,0.7028539448626743,0.7028539448626743
backtrack_trigger_count,0.6988936661238125,0.6988936661238125
reasoning_to_total_ratio,-0.6953431111832292,0.6953431111832292
recovery_marker_count,-0.6808917047961464,0.6808917047961464
unique_tool_calls_ratio,-0.5365257902878662,0.5365257902878662
planning_statement_count,-0.48491367148026127,0.48491367148026127
tools_used_count,-0.4651751801879911,0.4651751801879911
backtrack_after_error_rate,0.4583839460257965,0.4583839460257965
problem_marker_count,-0.4386715441034389,0.4386715441034389
code_block_count,-0.4123973365717649,0.4123973365717649
validation_attempt_count,-0.40931011590920213,0.40931011590920213
completion_tokens,-0.4012756662691004,0.4012756662691004
recovery_marker_ratio,-0.40067495099586536,0.40067495099586536
validation_to_total_ratio,-0.40067495099586536,0.40067495099586536
problem_marker_ratio,-0.40044017439495133,0.40044017439495133
negative_marker_ratio,-0.38987338976437674,0.38987338976437674
give_up_count,-0.3868293611224937,0.3868293611224937
tool_latency_std,-0.386209366610215,0.386209366610215
tool_repetition_rate,0.36906603701581214,0.36906603701581214
tool_latency_max,-0.34890066723328494,0.34890066723328494
successful_calls,-0.34102411699968554,0.34102411699968554
loop_instance_count,0.33984551570976657,0.33984551570976657
syntax_error_count,-0.33757046125515716,0.33757046125515716
positive_marker_ratio,-0.3291462559418166,0.3291462559418166
unnecessary_tool_use_count,-0.32194605476391536,0.32194605476391536
tool_latency_mean,-0.318680482431066,0.318680482431066
uncertainty_marker_count,-0.3060945661497228,0.3060945661497228
positive_marker_count,0.2996858127749656,0.2996858127749656
retry_rate,-0.2933103480405021,0.2933103480405021
early_final_answer_count,-0.2862654719051284,0.2862654719051284
misunderstood_tool_count,-0.27166676443137594,0.27166676443137594
tool_diversity_entropy,-0.2656020225555362,0.2656020225555362
error_rate,0.2626305235879226,0.2626305235879226
has_planning_in_first_step,-0.25043255450926544,0.25043255450926544
max_consecutive_failures,0.24685296050149058,0.24685296050149058
error_burstiness,0.24685296050149058,0.24685296050149058
total_markers,-0.23150174747701163,0.23150174747701163
avg_thought_length,-0.22363028635804516,0.22363028635804516
negative_marker_count,-0.22041536032405942,0.22041536032405942
has_reasoning_in_first_step,-0.21218129802626895,0.21218129802626895
validation_after_error_rate,-0.20489601919360517,0.20489601919360517
message_length_std,-0.20266781285403285,0.20266781285403285
total_calls,-0.20071091016630982,0.20071091016630982
success_rate,-0.19861623797403835,0.19861623797403835
marker_balance,0.19328161086825485,0.19328161086825485
tool_execution_duration,-0.19058473280448954,0.19058473280448954
avg_words_per_message,-0.18929185835934903,0.18929185835934903
thought_count,-0.1890790614076327,0.1890790614076327
inefficient_tool_call_count,-0.18727462053099467,0.18727462053099467
action_count,-0.17296763848179988,0.17296763848179988
step_count,-0.16830744344579202,0.16830744344579202
failed_calls,0.15014617808048003,0.15014617808048003
total_errors,0.15014617808048003,0.15014617808048003
execution_errors,0.15014617808048003,0.15014617808048003
neutral_count,-0.14824398030853328,0.14824398030853328
neutral_marker_count,-0.14547503330617745,0.14547503330617745
most_used_tool_ratio,0.14228182444369267,0.14228182444369267
annotatable_steps_count,0.12453432923362154,0.12453432923362154
non_sense_count,-0.11901321596909237,0.11901321596909237
wrong_reasoning_count,-0.11807105516571065,0.11807105516571065
total_message_length,-0.11778941374606974,0.11778941374606974
longest_looping_sequence,0.1052904007573751,0.1052904007573751
wrong_planning_count,0.10396889865113199,0.10396889865113199
hallucination_count,-0.09952698638795124,0.09952698638795124
thought_to_action_ratio,-0.07641632087469427,0.07641632087469427
assistant_steps_to_first_reasoning,0.07380842176446423,0.07380842176446423
steps_to_first_reasoning,0.07380842176446423,0.07380842176446423
avg_message_length,-0.06917705888096841,0.06917705888096841
avg_assistant_message_length,-0.06917705888096841,0.06917705888096841
most_used_tool_count,0.061414644194881206,0.061414644194881206
uncertainty_marker_ratio,-0.058410695543364005,0.058410695543364005
assistant_steps_count,-0.042951082269661475,0.042951082269661475
reasoning_statement_count,-0.03322828891464382,0.03322828891464382
avg_tools_per_step,-0.025817413672935295,0.025817413672935295
assistant_steps_to_first_error,0.024769390697696656,0.024769390697696656
total_tokens,-0.023324073378304135,0.023324073378304135
max_consecutive_successes,0.013527683441073916,0.013527683441073916
steps_to_first_error,0.011388681701909705,0.011388681701909705
marker_balance_ratio,0.011239744478857333,0.011239744478857333
prompt_tokens,0.010208871040390692,0.010208871040390692
assistant_steps_to_first_planning,-0.007147421187507016,0.007147421187507016
steps_to_first_planning,-0.007147421187507016,0.007147421187507016
negative_markers_steps_11_20,0.0,0.0
backtrack_to_total_ratio,0.0,0.0
has_tool_error_in_first_step,0.0,0.0
invalid_tool_errors,0.0,0.0
invalid_args_errors,0.0,0.0
missing_validation_count,0.0,0.0
steps_to_first_tool_call,0.0,0.0
steps_to_first_positive_marker,0.0,0.0
steps_to_first_negative_marker,0.0,0.0
assistant_steps_to_first_positive_marker,0.0,0.0
assistant_steps_to_first_negative_marker,0.0,0.0
marker_trajectory_slope,0.0,0.0
early_negative_rate,0.0,0.0
positive_markers_steps_1_5,0.0,0.0
negative_markers_steps_1_5,0.0,0.0
positive_markers_steps_6_10,0.0,0.0
negative_markers_steps_6_10,0.0,0.0
positive_markers_steps_11_20,0.0,0.0
positive_markers_steps_21_plus,0.0,0.0
negative_markers_steps_21_plus,0.0,0.0
question_count,0.0,0.0
