feature,importance
planning_to_total_ratio,0.06798259254066287
level,0.06028535061781328
neutral_marker_ratio,0.05067737984262343
avg_words_per_message,0.05034213465178067
tool_latency_std,0.04245285397127389
avg_assistant_message_length,0.04088584565573816
avg_message_length,0.03975443517143789
tool_latency_max,0.036697786251801395
total_message_length,0.02952588972258037
total_tokens,0.02909405721218956
avg_tools_per_step,0.02523143167100282
tool_execution_duration,0.024933593669503307
retry_rate,0.02116312435851593
prompt_tokens,0.019543169830128534
assistant_steps_to_first_planning,0.018978362178600237
completion_tokens,0.018336803525558474
message_length_std,0.017470224251980235
assistant_steps_count,0.01742527774054934
thought_to_action_ratio,0.017167662657548786
steps_to_first_reasoning,0.01693881220795109
has_planning_in_first_step,0.016658725683036214
tool_latency_mean,0.016235774059904493
error_rate,0.015741528812600835
planning_statement_count,0.015167792667020744
backtrack_trigger_count,0.014669453444177541
total_calls,0.01416236048991688
successful_calls,0.014138586965432971
marker_balance,0.013065421121101007
total_markers,0.012036888685880773
marker_balance_ratio,0.011968351171075673
positive_marker_ratio,0.01160511404340623
step_count,0.011540112002389183
assistant_steps_to_first_reasoning,0.011274388182102208
avg_thought_length,0.010789117654308669
problem_marker_ratio,0.009839273723738117
most_used_tool_ratio,0.009729977962317235
tool_diversity_entropy,0.00938789175040799
steps_to_first_planning,0.008861863198166169
neutral_count,0.007452517277122229
max_consecutive_successes,0.007291681007490427
annotatable_steps_count,0.007074563050395373
tool_repetition_rate,0.006838136538777776
most_used_tool_count,0.006056518920844769
unique_tool_calls_ratio,0.005726330462475588
neutral_marker_count,0.005276944474353472
recovery_marker_ratio,0.005019824926011781
action_count,0.005001249841261118
error_burstiness,0.00465815303301876
total_errors,0.004426561594002282
thought_count,0.004411633095706053
success_rate,0.004107151102204054
validation_to_total_ratio,0.004001012646443617
uncertainty_marker_ratio,0.0038933351518137967
syntax_error_count,0.003788239082514306
failed_calls,0.0034828833810412047
tools_used_count,0.0030940175411643283
uncertainty_marker_count,0.0028432732156983653
execution_errors,0.0027451593112148075
problem_marker_count,0.002674587790350862
max_consecutive_failures,0.0026723666489004193
assistant_steps_to_first_tool_call,0.0026254038596498753
negative_marker_count,0.002572909174799145
negative_marker_ratio,0.0024755519028437077
reasoning_to_total_ratio,0.0024286853463313498
recovery_marker_count,0.0023284215574937805
steps_to_first_error,0.0022578817660784873
backtrack_after_error_rate,0.002148154639821482
positive_marker_count,0.0017436539392104177
inefficient_tool_call_count,0.0016893824889227188
longest_looping_sequence,0.0016847210061692965
code_block_count,0.0010513739545997608
assistant_steps_to_first_error,0.0009479702574331729
loop_instance_count,0.0008042726987119071
unnecessary_tool_use_count,0.0004281081081081083
reasoning_statement_count,0.0003014650165150091
give_up_count,0.00011615117251088923
wrong_planning_count,0.000100343671772243
backtrack_to_total_ratio,0.0
validation_after_error_rate,0.0
negative_markers_steps_11_20,0.0
has_tool_error_in_first_step,0.0
has_reasoning_in_first_step,0.0
invalid_tool_errors,0.0
invalid_args_errors,0.0
validation_attempt_count,0.0
missing_validation_count,0.0
non_sense_count,0.0
hallucination_count,0.0
wrong_reasoning_count,0.0
early_final_answer_count,0.0
misunderstood_tool_count,0.0
steps_to_first_tool_call,0.0
steps_to_first_positive_marker,0.0
steps_to_first_negative_marker,0.0
assistant_steps_to_first_positive_marker,0.0
assistant_steps_to_first_negative_marker,0.0
marker_trajectory_slope,0.0
early_negative_rate,0.0
positive_markers_steps_1_5,0.0
negative_markers_steps_1_5,0.0
positive_markers_steps_6_10,0.0
negative_markers_steps_6_10,0.0
positive_markers_steps_11_20,0.0
positive_markers_steps_21_plus,0.0
negative_markers_steps_21_plus,0.0
question_count,0.0
