feature,coefficient,abs_coefficient
problem_marker_count,0.9070594945004337,0.9070594945004337
backtrack_after_error_rate,-0.6887340159558409,0.6887340159558409
completion_tokens,-0.6773910107286879,0.6773910107286879
validation_to_total_ratio,0.619128649505245,0.619128649505245
negative_marker_ratio,0.5935614099613947,0.5935614099613947
backtrack_to_total_ratio,-0.545003229972062,0.545003229972062
annotatable_steps_count,-0.5213062583616104,0.5213062583616104
problem_marker_ratio,0.4891989727501576,0.4891989727501576
tool_latency_std,-0.4862117377181702,0.4862117377181702
unique_tool_calls_ratio,-0.4711079593723002,0.4711079593723002
tool_repetition_rate,0.4711079593722999,0.4711079593722999
prompt_tokens,0.4468917213812629,0.4468917213812629
avg_message_length,0.44588784253045327,0.44588784253045327
avg_assistant_message_length,0.44588784253045327,0.44588784253045327
total_tokens,0.4290546832275637,0.4290546832275637
marker_balance,-0.40542788939084506,0.40542788939084506
give_up_count,-0.39529725293965084,0.39529725293965084
tool_latency_mean,-0.38185872632391277,0.38185872632391277
total_message_length,0.3645773278040069,0.3645773278040069
backtrack_trigger_count,-0.3620116933039452,0.3620116933039452
syntax_error_count,-0.3593278109062004,0.3593278109062004
thought_to_action_ratio,-0.3567301060281698,0.3567301060281698
planning_to_total_ratio,0.35596662354934383,0.35596662354934383
marker_balance_ratio,-0.3493517919766474,0.3493517919766474
neutral_count,0.3425702123655648,0.3425702123655648
recovery_marker_ratio,0.3419586434602148,0.3419586434602148
message_length_std,0.33023367028804473,0.33023367028804473
tool_latency_max,-0.324559799999342,0.324559799999342
neutral_marker_ratio,-0.3123689308110145,0.3123689308110145
invalid_tool_errors,-0.3077605825753545,0.3077605825753545
longest_looping_sequence,-0.3077605825753544,0.3077605825753544
neutral_marker_count,0.274518896964095,0.274518896964095
avg_words_per_message,0.25649018918039923,0.25649018918039923
tools_used_count,-0.2557261493108876,0.2557261493108876
misunderstood_tool_count,-0.2556809211281191,0.2556809211281191
success_rate,0.23554981029218144,0.23554981029218144
error_rate,-0.23554981029218122,0.23554981029218122
max_consecutive_failures,-0.22001126065836304,0.22001126065836304
error_burstiness,-0.22001126065836304,0.22001126065836304
wrong_reasoning_count,-0.20870693840770893,0.20870693840770893
steps_to_first_planning,0.20836773114980178,0.20836773114980178
assistant_steps_to_first_planning,0.20836773114980178,0.20836773114980178
thought_count,-0.20661818319691339,0.20661818319691339
uncertainty_marker_count,-0.19863736036519455,0.19863736036519455
action_count,-0.19544532109358234,0.19544532109358234
total_markers,0.1776607835673722,0.1776607835673722
has_planning_in_first_step,-0.155343500089306,0.155343500089306
total_errors,-0.15031901573782416,0.15031901573782416
failed_calls,-0.15031901573782416,0.15031901573782416
uncertainty_marker_ratio,0.1445678906901559,0.1445678906901559
steps_to_first_reasoning,0.13159320835221605,0.13159320835221605
assistant_steps_to_first_reasoning,0.13159320835221605,0.13159320835221605
validation_attempt_count,0.130316317274602,0.130316317274602
total_calls,-0.129286241781876,0.129286241781876
assistant_steps_to_first_error,-0.12437653505497744,0.12437653505497744
steps_to_first_error,-0.1243765350549774,0.1243765350549774
has_tool_error_in_first_step,-0.12437653505497738,0.12437653505497738
reasoning_statement_count,0.12371840767685957,0.12371840767685957
negative_marker_count,-0.12370183432509006,0.12370183432509006
successful_calls,-0.11836548041325903,0.11836548041325903
most_used_tool_count,-0.11637798506399932,0.11637798506399932
inefficient_tool_call_count,0.09686723800807943,0.09686723800807943
recovery_marker_count,-0.07873769266280281,0.07873769266280281
positive_marker_count,0.07793428779583372,0.07793428779583372
most_used_tool_ratio,0.07721523211060262,0.07721523211060262
retry_rate,0.07527246704035877,0.07527246704035877
execution_errors,-0.0652874632587869,0.0652874632587869
planning_statement_count,-0.06338666448138758,0.06338666448138758
positive_marker_ratio,-0.05658715781080748,0.05658715781080748
tool_execution_duration,-0.054450784907221786,0.054450784907221786
avg_tools_per_step,-0.047112591303358355,0.047112591303358355
max_consecutive_successes,-0.04216691563148907,0.04216691563148907
avg_thought_length,0.026767511471052455,0.026767511471052455
reasoning_to_total_ratio,0.026119180740369747,0.026119180740369747
assistant_steps_count,0.019828691047198168,0.019828691047198168
unnecessary_tool_use_count,-0.010635439461285057,0.010635439461285057
step_count,-0.007089933039450001,0.007089933039450001
loop_instance_count,-0.003801220505915777,0.003801220505915777
early_final_answer_count,-0.003801220505915777,0.003801220505915777
tool_diversity_entropy,0.002581071034345103,0.002581071034345103
code_block_count,0.0,0.0
validation_after_error_rate,0.0,0.0
level,0.0,0.0
negative_markers_steps_11_20,0.0,0.0
has_reasoning_in_first_step,0.0,0.0
negative_markers_steps_21_plus,0.0,0.0
invalid_args_errors,0.0,0.0
missing_validation_count,0.0,0.0
non_sense_count,0.0,0.0
hallucination_count,0.0,0.0
wrong_planning_count,0.0,0.0
steps_to_first_tool_call,0.0,0.0
steps_to_first_positive_marker,0.0,0.0
steps_to_first_negative_marker,0.0,0.0
assistant_steps_to_first_tool_call,0.0,0.0
assistant_steps_to_first_positive_marker,0.0,0.0
assistant_steps_to_first_negative_marker,0.0,0.0
marker_trajectory_slope,0.0,0.0
early_negative_rate,0.0,0.0
positive_markers_steps_1_5,0.0,0.0
negative_markers_steps_1_5,0.0,0.0
positive_markers_steps_6_10,0.0,0.0
negative_markers_steps_6_10,0.0,0.0
positive_markers_steps_11_20,0.0,0.0
positive_markers_steps_21_plus,0.0,0.0
question_count,0.0,0.0
