feature,importance
avg_assistant_message_length,0.14830421
avg_message_length,0.11581867
message_length_std,0.07239424
error_rate,0.044293117
tool_execution_duration,0.03970011
completion_tokens,0.036118325
tool_latency_mean,0.036072776
total_tokens,0.03258496
neutral_count,0.030279595
tool_repetition_rate,0.02749837
neutral_marker_ratio,0.023616012
tools_used_count,0.02240048
tool_latency_max,0.022325436
positive_marker_ratio,0.021819105
prompt_tokens,0.021208478
tool_latency_std,0.019323563
marker_balance,0.019149847
avg_words_per_message,0.017143134
tool_diversity_entropy,0.015955215
avg_tools_per_step,0.015911397
marker_balance_ratio,0.015390363
avg_thought_length,0.015367571
steps_to_first_planning,0.015091426
annotatable_steps_count,0.014850064
total_message_length,0.014658515
thought_to_action_ratio,0.014428463
neutral_marker_count,0.013608276
execution_errors,0.013432388
positive_marker_count,0.011345231
planning_statement_count,0.011154776
successful_calls,0.010716142
total_markers,0.010553438
unique_tool_calls_ratio,0.009736913
max_consecutive_successes,0.009454204
has_planning_in_first_step,0.009186639
failed_calls,0.007709559
step_count,0.0075839804
thought_count,0.006787046
assistant_steps_count,0.004367932
negative_marker_count,0.002660107
success_rate,0.0
most_used_tool_count,0.0
max_consecutive_failures,0.0
error_burstiness,0.0
level,0.0
most_used_tool_ratio,0.0
problem_marker_ratio,0.0
code_block_count,0.0
action_count,0.0
uncertainty_marker_ratio,0.0
uncertainty_marker_count,0.0
recovery_marker_ratio,0.0
recovery_marker_count,0.0
problem_marker_count,0.0
negative_marker_ratio,0.0
backtrack_after_error_rate,0.0
retry_rate,0.0
reasoning_to_total_ratio,0.0
planning_to_total_ratio,0.0
backtrack_to_total_ratio,0.0
validation_to_total_ratio,0.0
validation_after_error_rate,0.0
negative_markers_steps_11_20,0.0
longest_looping_sequence,0.0
non_sense_count,0.0
inefficient_tool_call_count,0.0
give_up_count,0.0
early_final_answer_count,0.0
syntax_error_count,0.0
wrong_reasoning_count,0.0
wrong_planning_count,0.0
hallucination_count,0.0
loop_instance_count,0.0
unnecessary_tool_use_count,0.0
steps_to_first_tool_call,0.0
missing_validation_count,0.0
reasoning_statement_count,0.0
backtrack_trigger_count,0.0
validation_attempt_count,0.0
total_errors,0.0
invalid_args_errors,0.0
invalid_tool_errors,0.0
total_calls,0.0
misunderstood_tool_count,0.0
steps_to_first_error,0.0
has_tool_error_in_first_step,0.0
early_negative_rate,0.0
has_reasoning_in_first_step,0.0
negative_markers_steps_21_plus,0.0
positive_markers_steps_21_plus,0.0
positive_markers_steps_11_20,0.0
negative_markers_steps_6_10,0.0
positive_markers_steps_6_10,0.0
negative_markers_steps_1_5,0.0
positive_markers_steps_1_5,0.0
marker_trajectory_slope,0.0
steps_to_first_positive_marker,0.0
assistant_steps_to_first_reasoning,0.0
assistant_steps_to_first_planning,0.0
assistant_steps_to_first_negative_marker,0.0
assistant_steps_to_first_positive_marker,0.0
assistant_steps_to_first_error,0.0
assistant_steps_to_first_tool_call,0.0
steps_to_first_reasoning,0.0
steps_to_first_negative_marker,0.0
question_count,0.0
