feature,importance
total_markers,0.10170859436875734
assistant_steps_count,0.06392224248083814
longest_looping_sequence,0.06318864251313878
step_count,0.05396558446272965
marker_balance,0.053138642376050295
total_message_length,0.05041828085892194
planning_to_total_ratio,0.046026972539129914
unique_tool_calls_ratio,0.030802288243986967
total_calls,0.027273561460130394
avg_thought_length,0.02391794197314234
recovery_marker_count,0.023616816377839977
planning_statement_count,0.022830958702534224
negative_marker_ratio,0.022579025972711882
tool_repetition_rate,0.020204622369435935
problem_marker_count,0.016968861679754584
has_planning_in_first_step,0.014921507016356396
avg_assistant_message_length,0.014217645844858757
problem_marker_ratio,0.01402149486474917
give_up_count,0.013264391035878427
prompt_tokens,0.013067374265657253
successful_calls,0.013041086313657819
most_used_tool_count,0.013006124430237465
avg_tools_per_step,0.012849453170431988
negative_marker_count,0.012779824148787835
uncertainty_marker_count,0.012124262100039435
positive_marker_count,0.011485165527243013
message_length_std,0.010972247075132535
total_tokens,0.010599944083002221
assistant_steps_to_first_reasoning,0.01029106642846244
tool_latency_mean,0.010275118719373042
validation_attempt_count,0.010005040413577738
assistant_steps_to_first_planning,0.009886686231330502
avg_message_length,0.009553661765352228
max_consecutive_successes,0.008725666095766318
marker_balance_ratio,0.008262885847448794
completion_tokens,0.008073839441496415
tool_latency_max,0.007941889726027032
annotatable_steps_count,0.0075809610080768254
most_used_tool_ratio,0.0070342670999021485
validation_to_total_ratio,0.006849305767942508
success_rate,0.006636909073840006
uncertainty_marker_ratio,0.006246600347631864
tools_used_count,0.006104751147612308
loop_instance_count,0.005764201966422507
reasoning_statement_count,0.00549675824172134
code_block_count,0.005466063472560989
thought_count,0.005063979768390066
neutral_marker_count,0.004832491526846907
action_count,0.004466313528109544
recovery_marker_ratio,0.004413064931846283
tool_execution_duration,0.004291275864972209
unnecessary_tool_use_count,0.004271444849481065
tool_latency_std,0.004244202778399706
steps_to_first_reasoning,0.0035137004426997677
reasoning_to_total_ratio,0.0034387850875352705
positive_marker_ratio,0.0033894928421969485
retry_rate,0.0030593563807271005
steps_to_first_planning,0.003047231118683683
question_count,0.002832762912959822
thought_to_action_ratio,0.002668845275623725
tool_diversity_entropy,0.0024041176289618564
neutral_count,0.002102600679298866
avg_words_per_message,0.001988737449329243
neutral_marker_ratio,0.0017788957051367653
backtrack_trigger_count,0.0017680910255744445
total_errors,0.0017413854671244227
backtrack_to_total_ratio,0.0014040269281137842
wrong_reasoning_count,0.0012536290003096395
early_final_answer_count,0.0012243860016766224
failed_calls,0.001102766074372596
syntax_error_count,0.0008989312636495566
invalid_tool_errors,0.0008539499389896549
has_reasoning_in_first_step,0.0006245892170726363
hallucination_count,0.00021171726223815393
validation_after_error_rate,0.0
backtrack_after_error_rate,0.0
level,0.0
error_rate,0.0
assistant_steps_to_first_error,0.0
invalid_args_errors,0.0
execution_errors,0.0
missing_validation_count,0.0
non_sense_count,0.0
wrong_planning_count,0.0
inefficient_tool_call_count,0.0
misunderstood_tool_count,0.0
steps_to_first_tool_call,0.0
steps_to_first_error,0.0
steps_to_first_positive_marker,0.0
steps_to_first_negative_marker,0.0
assistant_steps_to_first_tool_call,0.0
assistant_steps_to_first_positive_marker,0.0
max_consecutive_failures,0.0
assistant_steps_to_first_negative_marker,0.0
marker_trajectory_slope,0.0
early_negative_rate,0.0
positive_markers_steps_1_5,0.0
negative_markers_steps_1_5,0.0
positive_markers_steps_6_10,0.0
negative_markers_steps_6_10,0.0
positive_markers_steps_11_20,0.0
positive_markers_steps_21_plus,0.0
negative_markers_steps_21_plus,0.0
has_tool_error_in_first_step,0.0
error_burstiness,0.0
negative_markers_steps_11_20,0.0
