feature,importance
longest_looping_sequence,0.14164042
assistant_steps_count,0.11696599
successful_calls,0.10736214
marker_balance,0.09326369
total_markers,0.07068315
negative_marker_ratio,0.060218494
code_block_count,0.049497288
give_up_count,0.03535391
problem_marker_ratio,0.03299449
positive_marker_count,0.029063571
planning_to_total_ratio,0.023993013
planning_statement_count,0.019438984
total_message_length,0.018434543
avg_tools_per_step,0.017780073
neutral_marker_count,0.015394401
question_count,0.015269087
avg_message_length,0.014377708
avg_assistant_message_length,0.0135776615
avg_thought_length,0.012911925
negative_marker_count,0.009588315
most_used_tool_ratio,0.008876109
tool_execution_duration,0.008293398
total_calls,0.008290894
unique_tool_calls_ratio,0.0077936193
positive_marker_ratio,0.0074934624
tool_latency_mean,0.0064838026
prompt_tokens,0.006257303
tools_used_count,0.005223003
marker_balance_ratio,0.0048731165
reasoning_statement_count,0.004322316
steps_to_first_planning,0.0042609107
retry_rate,0.003833403
completion_tokens,0.0034932364
recovery_marker_ratio,0.003399757
avg_words_per_message,0.0027541837
reasoning_to_total_ratio,0.0026739289
has_planning_in_first_step,0.0026100657
assistant_steps_to_first_planning,0.0023430751
uncertainty_marker_count,0.0020855
neutral_marker_ratio,0.001860899
validation_to_total_ratio,0.0016883248
message_length_std,0.0015438228
tool_diversity_entropy,0.00055463804
tool_latency_max,0.00053191534
tool_latency_std,0.0004454543
step_count,0.00020493324
problem_marker_count,0.0
thought_count,0.0
error_burstiness,0.0
max_consecutive_failures,0.0
max_consecutive_successes,0.0
recovery_marker_count,0.0
error_rate,0.0
success_rate,0.0
backtrack_after_error_rate,0.0
tool_repetition_rate,0.0
most_used_tool_count,0.0
validation_after_error_rate,0.0
action_count,0.0
thought_to_action_ratio,0.0
backtrack_to_total_ratio,0.0
uncertainty_marker_ratio,0.0
level,0.0
has_tool_error_in_first_step,0.0
missing_validation_count,0.0
early_final_answer_count,0.0
syntax_error_count,0.0
wrong_reasoning_count,0.0
wrong_planning_count,0.0
hallucination_count,0.0
loop_instance_count,0.0
non_sense_count,0.0
unnecessary_tool_use_count,0.0
neutral_count,0.0
misunderstood_tool_count,0.0
backtrack_trigger_count,0.0
validation_attempt_count,0.0
total_errors,0.0
execution_errors,0.0
invalid_args_errors,0.0
invalid_tool_errors,0.0
failed_calls,0.0
total_tokens,0.0
inefficient_tool_call_count,0.0
steps_to_first_tool_call,0.0
has_reasoning_in_first_step,0.0
early_negative_rate,0.0
annotatable_steps_count,0.0
negative_markers_steps_21_plus,0.0
positive_markers_steps_21_plus,0.0
positive_markers_steps_11_20,0.0
negative_markers_steps_6_10,0.0
positive_markers_steps_6_10,0.0
negative_markers_steps_1_5,0.0
positive_markers_steps_1_5,0.0
marker_trajectory_slope,0.0
steps_to_first_error,0.0
assistant_steps_to_first_reasoning,0.0
assistant_steps_to_first_negative_marker,0.0
assistant_steps_to_first_positive_marker,0.0
assistant_steps_to_first_error,0.0
assistant_steps_to_first_tool_call,0.0
steps_to_first_reasoning,0.0
steps_to_first_negative_marker,0.0
steps_to_first_positive_marker,0.0
negative_markers_steps_11_20,0.0
