model,category,mean_importance,median_importance,count
LogReg,Complexity Metrics,0.24757928942408305,0.19232135294977995,21
LogReg,Count Metrics,0.18619708546777136,0.1483977500213316,175
LogReg,Distribution Metrics,0.2371890698410375,0.2216530984020444,7
LogReg,Error Metrics,0.13610373038963558,0.0711234192288625,98
LogReg,Other Metrics,0.22522797286238203,0.12136400219429869,56
LogReg,Rate/Ratio Metrics,0.23966575723495243,0.19124622167427738,98
LogReg,Statistical Metrics,0.22358365550575623,0.27551215039573634,14
LogReg,Step Metrics,0.09678467042182495,0.0,161
LogReg,Token Metrics,0.2485070168626213,0.28767034612089704,21
LogReg,Tool Usage,0.22292040797216198,0.1663477583881531,112
RF,Complexity Metrics,0.27412103002333543,0.16795121780664568,21
RF,Count Metrics,0.10196116973784013,0.034182825098223735,175
RF,Distribution Metrics,0.17281595870422803,0.17225877147512203,7
RF,Error Metrics,0.028872605491503965,0.016946343255950888,98
RF,Other Metrics,0.19242758945211036,0.04456938778952313,56
RF,Rate/Ratio Metrics,0.1336985920340996,0.06966942709260801,98
RF,Statistical Metrics,0.19486761684706672,0.14617438684609385,14
RF,Step Metrics,0.05184946473591989,0.0,161
RF,Token Metrics,0.25781096892457334,0.19091394377970466,21
RF,Tool Usage,0.15659535053429757,0.09240214548709405,112
XGB,Complexity Metrics,0.12617877554612933,0.04499639026481361,21
XGB,Count Metrics,0.052547386091387975,0.0,175
XGB,Distribution Metrics,0.22510588818838415,0.18017944786583495,7
XGB,Error Metrics,0.017932818848993427,0.0,98
XGB,Other Metrics,0.10617824653249272,0.0,56
XGB,Rate/Ratio Metrics,0.09589432954661736,0.030776192548941095,98
XGB,Statistical Metrics,0.09586919870154069,0.09745881839504125,14
XGB,Step Metrics,0.018507893073505133,0.0,161
XGB,Token Metrics,0.09726850939395551,0.07822179029644565,21
XGB,Tool Usage,0.09378594803718009,0.047527255423222683,112
