feature,logreg,rf,xgb,avg_importance
level,0.92663753419519,1.0,0.6658315935583994,0.8641563759178631
planning_to_total_ratio,1.0,0.9749109421570474,0.261132761984149,0.7453479013803989
neutral_marker_ratio,0.7864344974858288,0.5597862766902576,0.18412746730190876,0.5101160804926651
positive_marker_ratio,0.28696611058031285,0.13932758957720418,1.0,0.47543123338583904
avg_words_per_message,0.16186798692213086,0.9910405076309801,0.17184922627961066,0.44158590694424055
retry_rate,0.23958971591049466,0.3804673108619674,0.4993285726480717,0.3731285331401779
tool_latency_std,0.35901226675697134,0.44841802438620043,0.11875842908843807,0.3087295734105366
tool_latency_max,0.3237312745462961,0.44906197701349776,0.10117046970068704,0.2913212404201603
unique_tool_calls_ratio,0.47484018181759063,0.20766477031627104,0.17167855282033082,0.2847278349847308
completion_tokens,0.35334410457470083,0.20086134200475267,0.2755148582166236,0.2765734349320257
tool_execution_duration,0.1730249788469577,0.3175056329217861,0.30973979511405136,0.26675680229426507
backtrack_trigger_count,0.6370258754301954,0.14320126822388465,0.0,0.26007571455136
tool_latency_mean,0.2949026014969701,0.35686509808138506,0.08040551708393091,0.24405773888742874
assistant_steps_to_first_tool_call,0.6579698297249977,0.05252850433597646,0.0,0.23683277802032474
recovery_marker_count,0.6213073834511013,0.024174202364855565,0.0,0.21516052860531895
reasoning_to_total_ratio,0.6117095373693641,0.02773016545944413,0.0,0.21314656760960274
tool_repetition_rate,0.3325943932883491,0.11811337994449767,0.18233294889605772,0.21101357404296817
planning_statement_count,0.4431848632774904,0.16403351352480672,0.0,0.20240612560076574
avg_assistant_message_length,0.05812523110137929,0.4804322570692328,0.03217501441551377,0.19024416752870862
total_message_length,0.10323306716626293,0.37836047158807984,0.08659768484691689,0.1893970745337532
