feature,importance
avg_message_length,0.08369257979166804
avg_assistant_message_length,0.06676084193702526
avg_words_per_message,0.06393653506039909
tool_latency_std,0.0628302368643644
message_length_std,0.06263595589799792
prompt_tokens,0.0569780651082777
tool_latency_max,0.053214962458042435
total_tokens,0.051014026226433674
total_message_length,0.04955340190262559
tool_latency_mean,0.04279918298396343
tool_diversity_entropy,0.033278236328910034
tool_execution_duration,0.03253546443037142
completion_tokens,0.02364117602632717
positive_marker_ratio,0.022634034485347204
max_consecutive_successes,0.0214889063680185
successful_calls,0.01662237184319429
neutral_marker_ratio,0.01204233280456921
total_calls,0.011250899532989213
success_rate,0.011191181268768396
marker_balance_ratio,0.010382560389088831
avg_tools_per_step,0.009837895580776482
thought_to_action_ratio,0.009774276428036233
step_count,0.009741802489724803
marker_balance,0.009265910514756807
unique_tool_calls_ratio,0.00842260523866662
total_markers,0.008274999807496205
positive_marker_count,0.008010915081169426
failed_calls,0.007854359747949582
planning_to_total_ratio,0.007779041697929923
avg_thought_length,0.007737413678140182
annotatable_steps_count,0.007088464318712386
neutral_count,0.00692973109929868
model_gpt-4o,0.006623417367914516
assistant_steps_count,0.006341657807889886
recovery_marker_count,0.006206083056698329
action_count,0.005842270621703525
max_consecutive_failures,0.00482835971272636
error_rate,0.004777125702101866
thought_count,0.004567401543148783
tool_repetition_rate,0.004462749101463992
backtrack_to_total_ratio,0.004221398840374002
error_burstiness,0.004171588443525595
has_planning_in_first_step,0.00403393286499979
most_used_tool_count,0.003983271229502066
tools_used_count,0.0037866783831545527
assistant_steps_to_first_error,0.003596808115155422
neutral_marker_count,0.0035927401950806674
most_used_tool_ratio,0.003568541270130167
inefficient_tool_call_count,0.002878147647776691
retry_rate,0.0028544471548374024
backtrack_after_error_rate,0.0027902812878462945
backtrack_trigger_count,0.0027144989850921906
execution_errors,0.002148254673828083
total_errors,0.0021233887914338537
recovery_marker_ratio,0.0020533956224664533
steps_to_first_reasoning,0.0017741443733485967
problem_marker_ratio,0.001712502242859721
reasoning_to_total_ratio,0.0016941641335039047
negative_marker_ratio,0.001595277947727679
assistant_steps_to_first_planning,0.0015782815335107323
planning_statement_count,0.0015525785731271974
assistant_steps_to_first_reasoning,0.001542594788242991
steps_to_first_planning,0.00117795206694529
has_tool_error_in_first_step,0.001015802162860987
uncertainty_marker_ratio,0.0009241986000102706
unnecessary_tool_use_count,0.0008819922447747344
uncertainty_marker_count,0.0006950477845351869
negative_marker_count,0.0006630081065988872
problem_marker_count,0.0006181672485833667
steps_to_first_error,0.0004148769284649375
validation_attempt_count,0.0004072385238484222
agent_type_ToolCallingAgent,0.000385366931167485
code_block_count,0.0
validation_to_total_ratio,0.0
validation_after_error_rate,0.0
question_count,0.0
level,0.0
longest_looping_sequence,0.0
has_reasoning_in_first_step,0.0
invalid_tool_errors,0.0
invalid_args_errors,0.0
reasoning_statement_count,0.0
missing_validation_count,0.0
non_sense_count,0.0
loop_instance_count,0.0
hallucination_count,0.0
wrong_planning_count,0.0
wrong_reasoning_count,0.0
syntax_error_count,0.0
early_final_answer_count,0.0
give_up_count,0.0
misunderstood_tool_count,0.0
qa_score,0.0
steps_to_first_tool_call,0.0
steps_to_first_positive_marker,0.0
steps_to_first_negative_marker,0.0
assistant_steps_to_first_tool_call,0.0
assistant_steps_to_first_positive_marker,0.0
assistant_steps_to_first_negative_marker,0.0
marker_trajectory_slope,0.0
early_negative_rate,0.0
positive_markers_steps_1_5,0.0
negative_markers_steps_1_5,0.0
positive_markers_steps_6_10,0.0
negative_markers_steps_6_10,0.0
positive_markers_steps_11_20,0.0
positive_markers_steps_21_plus,0.0
negative_markers_steps_21_plus,0.0
negative_markers_steps_11_20,0.0
