feature,logreg,rf,xgb,avg_importance
qa_score,1.0,0.5618755201243666,0.7060555433727955,0.7559770211657207
confidence_marker_ratio,0.7372468085205269,1.0,0.4028358661792228,0.7133608915665831
model_gpt-4o,0.49735405688753925,0.6818956826358642,0.8488236159967317,0.676024451840045
confidence_marker_count,0.23087486067803953,0.7138046514950827,1.0,0.6482265040577074
total_calls,0.2570099440600733,0.2140879128662503,0.309110765320989,0.2600695407491042
longest_looping_sequence,0.09785157611145757,0.6115442030336139,0.0340200208475396,0.2478052666642037
total_message_length,0.05752591182863697,0.3322567586850955,0.3516604434457919,0.2471477046531748
total_markers,0.10091813695780061,0.5167606516669071,0.072691657679795,0.2301234821015009
unique_tool_calls_ratio,0.048129719643062195,0.2161659293861908,0.37863872175143365,0.21431145692689557
validation_to_total_ratio,0.48243410848254253,0.02483225215175917,0.08776529395331233,0.19834388486253804
successful_calls,0.25776442952054407,0.13779828936745783,0.16965410507280118,0.18840560798693437
step_count,0.19614127405458642,0.35735570956405477,0.011212546373759737,0.188236509997467
assistant_steps_count,0.1834699044864439,0.3248022736724963,0.040955649412874405,0.18307594252393822
recovery_marker_count,0.10573893233361639,0.3779084706134664,0.023607360923780314,0.1690849212902877
avg_thought_length,0.28870155047813406,0.16712427043355893,0.01604724220695539,0.15729102103954948
recovery_marker_ratio,0.4100306857712855,0.03964937298398103,0.02004038895380798,0.1565734825696915
planning_to_total_ratio,0.31181826677504054,0.15314284090687344,0.0,0.15498703589397134
max_consecutive_successes,0.2543868545575364,0.17741592966973327,0.0,0.1439342614090899
marker_balance_ratio,0.3076969179293902,0.06578564674373656,0.051687665406001324,0.14172341002637603
neutral_marker_count,0.19379858561225752,0.014230839733187306,0.20176878456440958,0.1365994033032848
