feature,count,percentage
level,9,42.857142857142854
tool_latency_max,7,33.33333333333333
completion_tokens,7,33.33333333333333
planning_to_total_ratio,6,28.57142857142857
total_message_length,6,28.57142857142857
avg_message_length,5,23.809523809523807
neutral_marker_ratio,5,23.809523809523807
tool_latency_std,5,23.809523809523807
tool_execution_duration,5,23.809523809523807
annotatable_steps_count,5,23.809523809523807
tool_latency_mean,5,23.809523809523807
tool_switching_rate,5,23.809523809523807
avg_assistant_message_length,4,19.047619047619047
rare_tool_ratio,4,19.047619047619047
give_up_count,4,19.047619047619047
total_calls,4,19.047619047619047
avg_tools_per_step,4,19.047619047619047
qa_score,4,19.047619047619047
confidence_marker_ratio,4,19.047619047619047
assistant_steps_to_first_tool_call,3,14.285714285714285
avg_words_per_message,3,14.285714285714285
avg_thought_length,3,14.285714285714285
reasoning_to_total_ratio,3,14.285714285714285
tools_used_count,3,14.285714285714285
positive_marker_ratio,3,14.285714285714285
total_markers,3,14.285714285714285
prompt_tokens,3,14.285714285714285
longest_looping_sequence,3,14.285714285714285
marker_balance,3,14.285714285714285
negative_marker_ratio,3,14.285714285714285
model_gpt-4o,3,14.285714285714285
step_count,3,14.285714285714285
assistant_steps_count,3,14.285714285714285
validation_to_total_ratio,3,14.285714285714285
uncertainty_marker_ratio,3,14.285714285714285
message_length_std,3,14.285714285714285
max_consecutive_successes,3,14.285714285714285
most_used_tool_ratio,2,9.523809523809524
successful_calls,2,9.523809523809524
marker_balance_ratio,2,9.523809523809524
backtrack_after_error_rate,2,9.523809523809524
confidence_marker_count,2,9.523809523809524
self_correction_marker_ratio,2,9.523809523809524
steps_to_first_reasoning,2,9.523809523809524
self_correction_marker_count,2,9.523809523809524
uncertainty_marker_count,2,9.523809523809524
backtrack_trigger_count,2,9.523809523809524
has_tool_error_in_first_step,2,9.523809523809524
total_tokens,2,9.523809523809524
problem_marker_ratio,2,9.523809523809524
code_block_count,2,9.523809523809524
tool_diversity_entropy,2,9.523809523809524
retry_rate,2,9.523809523809524
error_burstiness,2,9.523809523809524
problem_marker_count,2,9.523809523809524
recovery_marker_count,2,9.523809523809524
assistant_steps_to_first_error,2,9.523809523809524
verification_marker_ratio,1,4.761904761904762
steps_to_first_error,1,4.761904761904762
neutral_marker_count,1,4.761904761904762
recovery_marker_ratio,1,4.761904761904762
top3_tool_concentration,1,4.761904761904762
most_used_tool_count,1,4.761904761904762
unique_tool_calls_ratio,1,4.761904761904762
error_rate,1,4.761904761904762
backtrack_to_total_ratio,1,4.761904761904762
failed_calls,1,4.761904761904762
early_final_answer_count,1,4.761904761904762
tool_gini_coefficient,1,4.761904761904762
thought_count,1,4.761904761904762
positive_marker_count,1,4.761904761904762
action_count,1,4.761904761904762
assistant_steps_to_first_reasoning,1,4.761904761904762
verification_marker_count,1,4.761904761904762
loop_instance_count,1,4.761904761904762
