feature,coefficient,abs_coefficient
assistant_steps_count,-3.185505737800566,3.185505737800566
self_correction_marker_ratio,-2.504757369814588,2.504757369814588
self_correction_marker_count,-2.158806674781933,2.158806674781933
most_used_tool_ratio,1.8985862877838424,1.8985862877838424
tools_used_count,1.8433308830592456,1.8433308830592456
reasoning_to_total_ratio,1.739511361177907,1.739511361177907
level,-1.6946052127866125,1.6946052127866125
tool_latency_max,-1.6895916147788763,1.6895916147788763
avg_message_length,1.676581303275363,1.676581303275363
avg_assistant_message_length,1.676581303275363,1.676581303275363
give_up_count,-1.6241440643790261,1.6241440643790261
avg_words_per_message,-1.5506049232879988,1.5506049232879988
max_consecutive_successes,1.5484842472368454,1.5484842472368454
neutral_count,1.4958952596489046,1.4958952596489046
confidence_marker_ratio,-1.438750594983213,1.438750594983213
assistant_steps_to_first_error,1.36600007049946,1.36600007049946
total_markers,-1.342164654482035,1.342164654482035
model_gpt-4o,-1.3182985305963568,1.3182985305963568
neutral_marker_count,-1.3072554294102607,1.3072554294102607
negative_marker_ratio,1.2907231022005838,1.2907231022005838
problem_marker_ratio,-1.2815330414415227,1.2815330414415227
loop_instance_count,-1.2633605518268711,1.2633605518268711
total_message_length,1.2471792272951974,1.2471792272951974
tool_latency_mean,1.1548126544362918,1.1548126544362918
code_block_count,-1.054856231205877,1.054856231205877
marker_balance_ratio,-1.0455754143656284,1.0455754143656284
validation_after_error_rate,-1.016305079922075,1.016305079922075
positive_marker_count,1.0159339516216144,1.0159339516216144
negative_marker_count,-0.9115878837190915,0.9115878837190915
tool_gini_coefficient,-0.9049763638180311,0.9049763638180311
reasoning_statement_count,-0.8983512138181836,0.8983512138181836
confidence_marker_count,0.8921674489175062,0.8921674489175062
syntax_error_count,-0.8439793072237132,0.8439793072237132
completion_tokens,-0.8358283174534601,0.8358283174534601
tool_repetition_rate,0.8111653746802014,0.8111653746802014
early_final_answer_count,-0.8076070821174614,0.8076070821174614
thought_to_action_ratio,-0.724458190164357,0.724458190164357
max_tool_burst_length,-0.7070210191742184,0.7070210191742184
avg_tools_per_step,-0.695472560558823,0.695472560558823
retry_rate,0.6765290027471786,0.6765290027471786
marker_balance,-0.6567284355466317,0.6567284355466317
tool_switching_rate,0.6233263035043534,0.6233263035043534
unnecessary_tool_use_count,0.6199747817736689,0.6199747817736689
tool_latency_std,-0.5685558048620478,0.5685558048620478
validation_to_total_ratio,0.5604225486203299,0.5604225486203299
steps_to_first_error,-0.559327664259456,0.559327664259456
rare_tool_ratio,-0.5482879372094526,0.5482879372094526
positive_marker_ratio,-0.5304425312154435,0.5304425312154435
annotatable_steps_count,0.4545537562600444,0.4545537562600444
uncertainty_marker_count,-0.417243022300344,0.417243022300344
missing_validation_count,0.41712622326596765,0.41712622326596765
planning_to_total_ratio,-0.39903541850117696,0.39903541850117696
unique_tool_calls_ratio,-0.3757347197021495,0.3757347197021495
problem_marker_count,-0.37478398357639986,0.37478398357639986
backtrack_to_total_ratio,-0.37423267655772835,0.37423267655772835
error_rate,0.37231741054548534,0.37231741054548534
longest_looping_sequence,-0.33536062089012164,0.33536062089012164
avg_thought_length,0.32495490209401473,0.32495490209401473
execution_errors,0.31431074053245556,0.31431074053245556
inefficient_tool_call_count,0.3077671862931472,0.3077671862931472
failed_calls,0.30552228838409806,0.30552228838409806
total_errors,0.30552228838409806,0.30552228838409806
recovery_marker_count,-0.2929846601783557,0.2929846601783557
recovery_marker_ratio,0.2890699407465332,0.2890699407465332
tool_diversity_entropy,-0.2801928529616786,0.2801928529616786
assistant_steps_to_first_planning,-0.26981865123805693,0.26981865123805693
steps_to_first_planning,-0.26981865123805693,0.26981865123805693
hallucination_count,0.25225934848169623,0.25225934848169623
total_calls,0.24665794321074322,0.24665794321074322
top3_tool_concentration,-0.23408487674275227,0.23408487674275227
total_tokens,-0.233270860349333,0.233270860349333
has_reasoning_in_first_step,-0.22637525951404874,0.22637525951404874
prompt_tokens,-0.2171430666349326,0.2171430666349326
action_count,0.2118994120946106,0.2118994120946106
qa_score,0.18010801231646675,0.18010801231646675
step_count,0.16319512620678459,0.16319512620678459
successful_calls,0.15660626127822164,0.15660626127822164
neutral_marker_ratio,-0.14909900359902767,0.14909900359902767
invalid_tool_errors,-0.13823998635826135,0.13823998635826135
backtrack_after_error_rate,-0.13793922847678167,0.13793922847678167
verification_marker_count,-0.1378697106684024,0.1378697106684024
has_tool_error_in_first_step,-0.13309403872763584,0.13309403872763584
has_planning_in_first_step,0.1285992899046736,0.1285992899046736
most_used_tool_count,-0.11929388626490918,0.11929388626490918
backtrack_trigger_count,0.11514344022677542,0.11514344022677542
uncertainty_marker_ratio,-0.11448268529564205,0.11448268529564205
agent_type_ToolCallingAgent,-0.11270127580874584,0.11270127580874584
max_consecutive_failures,0.11096406556093573,0.11096406556093573
error_burstiness,0.11096406556093573,0.11096406556093573
