feature,importance
assistant_steps_to_first_error,0.09967769
most_used_tool_count,0.08605966
retry_rate,0.07449369
marker_balance,0.045465264
negative_marker_ratio,0.04352312
neutral_marker_ratio,0.037645817
tool_switching_rate,0.033458687
message_length_std,0.0333739
total_calls,0.032271348
error_burstiness,0.031158887
avg_tools_per_step,0.028679146
uncertainty_marker_count,0.028168676
total_message_length,0.026816806
assistant_steps_to_first_planning,0.024880735
avg_words_per_message,0.024712048
tool_execution_duration,0.02227022
verification_marker_ratio,0.020697823
reasoning_to_total_ratio,0.020690491
problem_marker_ratio,0.01884063
self_correction_marker_ratio,0.014532445
tool_latency_max,0.013837053
max_consecutive_successes,0.013569589
successful_calls,0.012502257
tool_gini_coefficient,0.012402084
reasoning_statement_count,0.011329789
marker_balance_ratio,0.011110857
tools_used_count,0.01059614
tool_repetition_rate,0.010308618
annotatable_steps_count,0.010088937
unique_tool_calls_ratio,0.009673695
most_used_tool_ratio,0.009184807
steps_to_first_planning,0.008986743
tool_latency_mean,0.0089389365
uncertainty_marker_ratio,0.0076424787
planning_to_total_ratio,0.007625485
avg_assistant_message_length,0.0076002907
verification_marker_count,0.007541473
steps_to_first_reasoning,0.0074311625
top3_tool_concentration,0.0071685077
total_tokens,0.006193773
assistant_steps_count,0.005387233
negative_marker_count,0.004888814
positive_marker_count,0.0048315693
total_markers,0.0045162705
confidence_marker_count,0.0043285084
step_count,0.004285213
prompt_tokens,0.0040436154
problem_marker_count,0.0032130347
tool_diversity_entropy,0.0031564173
has_planning_in_first_step,0.0030482055
completion_tokens,0.0025458557
avg_message_length,0.0024193902
tool_latency_std,0.0019131984
neutral_marker_count,0.0017089506
steps_to_first_error,0.0016510558
positive_marker_ratio,0.0016252883
longest_looping_sequence,0.0014611661
recovery_marker_ratio,0.0010804117
level,0.0010656108
error_rate,0.00080934353
failed_calls,0.0006549945
avg_thought_length,0.00021612449
backtrack_after_error_rate,0.0
confidence_marker_ratio,0.0
recovery_marker_count,0.0
self_correction_marker_count,0.0
thought_count,0.0
code_block_count,0.0
model_gpt-4o,0.0
thought_to_action_ratio,0.0
validation_after_error_rate,0.0
max_tool_burst_length,0.0
action_count,0.0
backtrack_to_total_ratio,0.0
validation_to_total_ratio,0.0
question_count,0.0
rare_tool_ratio,0.0
has_reasoning_in_first_step,0.0
success_rate,0.0
unnecessary_tool_use_count,0.0
give_up_count,0.0
early_final_answer_count,0.0
syntax_error_count,0.0
wrong_reasoning_count,0.0
wrong_planning_count,0.0
hallucination_count,0.0
loop_instance_count,0.0
non_sense_count,0.0
missing_validation_count,0.0
max_consecutive_failures,0.0
neutral_count,0.0
planning_statement_count,0.0
backtrack_trigger_count,0.0
validation_attempt_count,0.0
total_errors,0.0
execution_errors,0.0
invalid_args_errors,0.0
invalid_tool_errors,0.0
inefficient_tool_call_count,0.0
misunderstood_tool_count,0.0
qa_score,0.0
steps_to_first_tool_call,0.0
has_tool_error_in_first_step,0.0
negative_markers_steps_21_plus,0.0
positive_markers_steps_21_plus,0.0
negative_markers_steps_11_20,0.0
positive_markers_steps_11_20,0.0
negative_markers_steps_6_10,0.0
positive_markers_steps_6_10,0.0
negative_markers_steps_1_5,0.0
positive_markers_steps_1_5,0.0
early_negative_rate,0.0
marker_trajectory_slope,0.0
assistant_steps_to_first_reasoning,0.0
assistant_steps_to_first_negative_marker,0.0
assistant_steps_to_first_positive_marker,0.0
assistant_steps_to_first_tool_call,0.0
steps_to_first_negative_marker,0.0
steps_to_first_positive_marker,0.0
agent_type_ToolCallingAgent,0.0
