feature,logreg,rf,xgb,avg_importance
avg_message_length,0.36395198348637897,1.0,1.0,0.7879839944954595
tool_latency_max,0.4499489164764427,0.9676877414354675,0.3045625768813204,0.5740664115977435
tool_latency_std,0.6495854098986188,0.9121965475023892,0.15484230887262165,0.5722080887578765
prompt_tokens,0.6677027177499024,0.7899140314725538,0.17888096151470795,0.5454992369123881
completion_tokens,0.838106878772493,0.46537102140385417,0.3083398457503802,0.5372725819755758
total_tokens,0.6442816784214911,0.8565079603678935,0.06737956936978495,0.5227230693863899
tool_latency_mean,0.4535924881464324,0.7256417212626104,0.25065792419289096,0.47663071120064454
avg_words_per_message,0.28382291579730345,0.9330426160417061,0.12664498630963825,0.4478368393828826
total_message_length,0.5013789354343023,0.6989127605085202,0.1252370420378849,0.44184291266023584
annotatable_steps_count,1.0,0.20295512105203944,0.10194926663328878,0.4349681292284428
avg_assistant_message_length,0.36395198348637897,0.8248729462909665,0.09266080374351629,0.4271619111736206
self_correction_marker_count,0.4272701459297566,0.13517779822482642,0.555740523200835,0.37272948911847265
tool_execution_duration,0.06816712409348506,0.6480907633632719,0.3368087902653405,0.3510222259073658
planning_to_total_ratio,0.8225014671817971,0.08742461507748953,0.10654094923065147,0.33882234382997933
validation_to_total_ratio,0.9947419503820623,0.008523790915805017,0.0,0.3344219137659557
self_correction_marker_ratio,0.7745590146088169,0.1363110847709127,0.03873032452025648,0.3165334746333287
rare_tool_ratio,0.841784006247378,0.056391656908550296,0.0,0.2993918877186428
backtrack_after_error_rate,0.8571598435593084,0.0022466760767309727,0.0,0.2864688398786798
message_length_std,0.05666483886149934,0.7622529048479676,0.03746984481409925,0.2854625295078554
marker_balance_ratio,0.4338097940578728,0.29877508091017657,0.0700357752265081,0.2675402167315191
