Environment,Model,Test ROC-AUC,Test F1,Test Accuracy,Test Precision,Test Recall,CV Mean
md,LogReg,0.9967767929089444,0.9696969696969697,0.9888888888888889,1.0,0.9411764705882353,0.9985611911857122
md,RF,0.9999999999999999,1.0,1.0,1.0,1.0,1.0
md,XGB,1.0,1.0,1.0,1.0,1.0,1.0
retrosynthesis,LogReg,0.9909733124018838,0.9795918367346939,0.967741935483871,0.9795918367346939,0.9795918367346939,0.9778951207522635
retrosynthesis,RF,0.9984301412872841,0.9948717948717949,0.9919354838709677,1.0,0.9897959183673469,0.9939774511203083
retrosynthesis,XGB,0.9984301412872841,0.9847715736040609,0.9758064516129032,0.9797979797979798,0.9897959183673469,0.992007992007992
afm,LogReg,0.9954022988505747,0.9285714285714286,0.9726027397260274,1.0,0.8666666666666667,0.9970769209205843
afm,RF,1.0,1.0,1.0,1.0,1.0,1.0
afm,XGB,1.0,1.0,1.0,1.0,1.0,1.0
catalyst,LogReg,1.0,1.0,1.0,1.0,1.0,1.0
catalyst,RF,1.0,1.0,1.0,1.0,1.0,1.0
catalyst,XGB,1.0,1.0,1.0,1.0,1.0,1.0
ml,LogReg,0.989010989010989,0.918918918918919,0.875,0.8717948717948718,0.9714285714285714,0.9103313927451857
ml,RF,1.0,1.0,1.0,1.0,1.0,0.9873891625615764
ml,XGB,1.0,1.0,1.0,1.0,1.0,0.9978571428571428
resistor,LogReg,1.0,0.987012987012987,0.9895833333333334,0.9743589743589743,1.0,0.9988652482269504
resistor,RF,1.0,1.0,1.0,1.0,1.0,1.0
resistor,XGB,1.0,1.0,1.0,1.0,1.0,1.0
all,LogReg,0.9835430371931617,0.9283387622149837,0.9282218597063622,0.9253246753246753,0.9313725490196079,0.9777557542858185
all,RF,0.9994251772370185,0.9853181076672104,0.9853181076672104,0.9837133550488599,0.9869281045751634,0.9990970340171581
all,XGB,0.9998296821443018,0.9934640522875817,0.9934747145187602,0.9934640522875817,0.9934640522875817,0.9995135297540015
