feature,mean_abs_shap,mean_shap,abs_mean_shap
level,1.7297696,-0.7596628,0.7596628
planning_to_total_ratio,1.1433973,-0.31577292,0.31577292
neutral_marker_ratio,0.77925485,-0.21793176,0.21793176
verification_marker_ratio,0.32081854,-0.14069882,0.14069882
avg_words_per_message,0.25708547,-0.061967608,0.061967608
total_message_length,0.19777843,-0.06562748,0.06562748
tool_latency_max,0.16662668,-0.082620405,0.082620405
tool_latency_std,0.14926338,-0.08308971,0.08308971
self_correction_marker_ratio,0.112137675,-0.00359319,0.00359319
tool_execution_duration,0.11054169,-0.034746334,0.034746334
retry_rate,0.100095086,-0.047911122,0.047911122
confidence_marker_ratio,0.09252497,-0.028404158,0.028404158
avg_message_length,0.08886665,-0.03194068,0.03194068
tool_switching_rate,0.08749237,-0.008332456,0.008332456
total_markers,0.083480835,-0.007818649,0.007818649
completion_tokens,0.07917958,-0.05126446,0.05126446
top3_tool_concentration,0.07626767,-0.011496575,0.011496575
verification_marker_count,0.072323486,-0.03727234,0.03727234
negative_marker_ratio,0.07104262,-0.014460291,0.014460291
marker_balance,0.06954003,-0.00983777,0.00983777
steps_to_first_reasoning,0.064558394,0.012746309,0.012746309
error_rate,0.053393777,-0.024457308,0.024457308
unique_tool_calls_ratio,0.050294146,-0.019688008,0.019688008
message_length_std,0.046939053,-0.018870035,0.018870035
error_burstiness,0.045456983,-0.016931063,0.016931063
marker_balance_ratio,0.042790566,-0.011134806,0.011134806
uncertainty_marker_ratio,0.039663337,-0.013011779,0.013011779
max_consecutive_successes,0.038300954,-0.012035984,0.012035984
thought_count,0.03074995,-0.014370957,0.014370957
tool_diversity_entropy,0.030154463,-0.0061816187,0.0061816187
tool_repetition_rate,0.029189344,-0.009438493,0.009438493
failed_calls,0.024517408,0.0023868848,0.0023868848
annotatable_steps_count,0.023929017,0.003939475,0.003939475
tool_gini_coefficient,0.023864716,-0.0111925835,0.0111925835
prompt_tokens,0.023391476,-0.0026638694,0.0026638694
validation_to_total_ratio,0.023064688,-0.004209588,0.004209588
avg_thought_length,0.020954324,-0.0021259042,0.0021259042
tool_latency_mean,0.019525152,-0.012756965,0.012756965
thought_to_action_ratio,0.013823617,-0.012671845,0.012671845
avg_tools_per_step,0.013614188,-0.006771189,0.006771189
max_tool_burst_length,0.0135413585,-0.003964956,0.003964956
step_count,0.012489767,-0.0011302446,0.0011302446
confidence_marker_count,0.008557818,0.00012394022,0.00012394022
positive_marker_ratio,0.006521718,-0.00056668755,0.00056668755
success_rate,0.0054402864,-0.0016722556,0.0016722556
most_used_tool_count,0.0,0.0,0.0
model_gpt-4o,0.0,0.0,0.0
max_consecutive_failures,0.0,0.0,0.0
question_count,0.0,0.0,0.0
reasoning_to_total_ratio,0.0,0.0,0.0
most_used_tool_ratio,0.0,0.0,0.0
rare_tool_ratio,0.0,0.0,0.0
