feature,importance
positive_marker_ratio,0.08076372616446578
total_message_length,0.05730904687917149
tools_used_count,0.046304271029604493
annotatable_steps_count,0.045781844689248584
total_calls,0.04560628352437245
thought_count,0.044838966789491695
avg_tools_per_step,0.04252281117559806
avg_assistant_message_length,0.037013187199053714
longest_looping_sequence,0.03495651871670223
most_used_tool_ratio,0.0343335110812595
assistant_steps_count,0.03122658672077388
action_count,0.030197852253134618
problem_marker_ratio,0.02971244758335148
negative_marker_count,0.029130761695896453
marker_balance,0.028896651535135164
syntax_error_count,0.027065301930165445
avg_message_length,0.02578107286736185
confidence_marker_count,0.025769057086602366
tool_latency_mean,0.02454893896423742
avg_words_per_message,0.02438963338366898
problem_marker_count,0.024300094868698455
marker_balance_ratio,0.02189972485664563
loop_instance_count,0.019972358990493665
step_count,0.019923756119677272
top3_tool_concentration,0.014639782184796793
prompt_tokens,0.013579652576559043
completion_tokens,0.013371920985769885
tool_execution_duration,0.012112370428712094
assistant_steps_to_first_reasoning,0.01024558039384865
message_length_std,0.00948976635388589
tool_latency_max,0.007131485811618219
total_markers,0.006661689526916552
total_tokens,0.006655850454968593
assistant_steps_to_first_error,0.006339127199110629
negative_marker_ratio,0.006285424034982481
neutral_marker_ratio,0.005737060701575387
backtrack_after_error_rate,0.004957845326896418
successful_calls,0.004861878453038675
self_correction_marker_ratio,0.004364505498174211
tool_diversity_entropy,0.004043961006602715
self_correction_marker_count,0.0038678688688266586
success_rate,0.0027877850564298028
error_burstiness,0.002698691628550153
thought_to_action_ratio,0.00259776536312849
steps_to_first_planning,0.0025630425795783386
backtrack_trigger_count,0.0024278946179314854
max_consecutive_successes,0.002398590097443464
validation_attempt_count,0.002311018339048756
steps_to_first_reasoning,0.0022904217122927785
unique_tool_calls_ratio,0.0022842798895162044
total_errors,0.0018829152595094209
positive_marker_count,0.0018531299191088216
tool_latency_std,0.0014229255714762962
max_consecutive_failures,0.00139578731128027
tool_repetition_rate,0.001066248068948439
error_rate,0.0009360483727240428
max_tool_burst_length,0.0008836258842022534
uncertainty_marker_count,0.0006729073395740062
misunderstood_tool_count,0.00044858581105808386
neutral_count,0.00039707734735328445
verification_marker_ratio,7.499238946918648e-05
recovery_marker_count,1.6091530282888275e-05
rare_tool_ratio,0.0
tool_switching_rate,0.0
model_gpt-4o,0.0
question_count,0.0
tool_gini_coefficient,0.0
code_block_count,0.0
avg_thought_length,0.0
validation_to_total_ratio,0.0
backtrack_to_total_ratio,0.0
planning_to_total_ratio,0.0
reasoning_to_total_ratio,0.0
validation_after_error_rate,0.0
verification_marker_count,0.0
confidence_marker_ratio,0.0
uncertainty_marker_ratio,0.0
recovery_marker_ratio,0.0
level,0.0
has_reasoning_in_first_step,0.0
most_used_tool_count,0.0
retry_rate,0.0
qa_score,0.0
inefficient_tool_call_count,0.0
give_up_count,0.0
early_final_answer_count,0.0
wrong_reasoning_count,0.0
wrong_planning_count,0.0
hallucination_count,0.0
non_sense_count,0.0
unnecessary_tool_use_count,0.0
missing_validation_count,0.0
reasoning_statement_count,0.0
planning_statement_count,0.0
neutral_marker_count,0.0
execution_errors,0.0
invalid_args_errors,0.0
invalid_tool_errors,0.0
failed_calls,0.0
steps_to_first_tool_call,0.0
steps_to_first_error,0.0
steps_to_first_positive_marker,0.0
positive_markers_steps_6_10,0.0
has_tool_error_in_first_step,0.0
has_planning_in_first_step,0.0
negative_markers_steps_21_plus,0.0
positive_markers_steps_21_plus,0.0
negative_markers_steps_11_20,0.0
positive_markers_steps_11_20,0.0
negative_markers_steps_6_10,0.0
negative_markers_steps_1_5,0.0
steps_to_first_negative_marker,0.0
positive_markers_steps_1_5,0.0
early_negative_rate,0.0
marker_trajectory_slope,0.0
assistant_steps_to_first_planning,0.0
assistant_steps_to_first_negative_marker,0.0
assistant_steps_to_first_positive_marker,0.0
assistant_steps_to_first_tool_call,0.0
agent_type_ToolCallingAgent,0.0
