feature,mean_abs_shap,mean_shap,abs_mean_shap
positive_marker_ratio,1.927031,1.4398249,1.4398249
message_length_std,0.47366476,0.15726934,0.15726934
tool_latency_max,0.3468456,0.18415096,0.18415096
completion_tokens,0.26811752,0.22099674,0.22099674
positive_marker_count,0.2505888,0.1550834,0.1550834
problem_marker_ratio,0.21546374,0.08761675,0.08761675
marker_balance,0.19468236,0.14733826,0.14733826
tool_execution_duration,0.11398436,0.031011555,0.031011555
steps_to_first_reasoning,0.11192051,0.0954877,0.0954877
negative_marker_count,0.095618635,0.047189314,0.047189314
avg_message_length,0.08343792,0.025433214,0.025433214
avg_tools_per_step,0.07485479,0.026759183,0.026759183
prompt_tokens,0.065477185,0.028548883,0.028548883
total_calls,0.060287233,0.052759267,0.052759267
successful_calls,0.05503858,0.047469415,0.047469415
negative_marker_ratio,0.047713242,0.012084226,0.012084226
step_count,0.028787239,0.018558051,0.018558051
total_tokens,0.025142763,0.011345115,0.011345115
tool_latency_mean,0.023856428,0.008782717,0.008782717
neutral_marker_count,0.02375196,0.013772931,0.013772931
annotatable_steps_count,0.012998636,0.010871505,0.010871505
self_correction_marker_count,0.008469712,-0.00094360946,0.00094360946
neutral_marker_ratio,0.0058013154,0.0022649285,0.0022649285
planning_to_total_ratio,0.0,0.0,0.0
reasoning_to_total_ratio,0.0,0.0,0.0
backtrack_to_total_ratio,0.0,0.0,0.0
validation_to_total_ratio,0.0,0.0,0.0
backtrack_after_error_rate,0.0,0.0,0.0
validation_after_error_rate,0.0,0.0,0.0
level,0.0,0.0,0.0
marker_balance_ratio,0.0,0.0,0.0
total_markers,0.0,0.0,0.0
most_used_tool_ratio,0.0,0.0,0.0
most_used_tool_count,0.0,0.0,0.0
success_rate,0.0,0.0,0.0
error_rate,0.0,0.0,0.0
tool_latency_std,0.0,0.0,0.0
tool_diversity_entropy,0.0,0.0,0.0
tool_repetition_rate,0.0,0.0,0.0
avg_assistant_message_length,0.0,0.0,0.0
problem_marker_count,0.0,0.0,0.0
recovery_marker_count,0.0,0.0,0.0
model_gpt-4o,0.0,0.0,0.0
rare_tool_ratio,0.0,0.0,0.0
top3_tool_concentration,0.0,0.0,0.0
max_tool_burst_length,0.0,0.0,0.0
tool_switching_rate,0.0,0.0,0.0
tool_gini_coefficient,0.0,0.0,0.0
question_count,0.0,0.0,0.0
code_block_count,0.0,0.0,0.0
avg_words_per_message,0.0,0.0,0.0
thought_to_action_ratio,0.0,0.0,0.0
action_count,0.0,0.0,0.0
avg_thought_length,0.0,0.0,0.0
thought_count,0.0,0.0,0.0
self_correction_marker_ratio,0.0,0.0,0.0
verification_marker_ratio,0.0,0.0,0.0
verification_marker_count,0.0,0.0,0.0
confidence_marker_ratio,0.0,0.0,0.0
confidence_marker_count,0.0,0.0,0.0
uncertainty_marker_ratio,0.0,0.0,0.0
uncertainty_marker_count,0.0,0.0,0.0
total_message_length,0.0,0.0,0.0
max_consecutive_failures,0.0,0.0,0.0
recovery_marker_ratio,0.0,0.0,0.0
max_consecutive_successes,0.0,0.0,0.0
has_reasoning_in_first_step,0.0,0.0,0.0
error_burstiness,0.0,0.0,0.0
steps_to_first_tool_call,0.0,0.0,0.0
misunderstood_tool_count,0.0,0.0,0.0
inefficient_tool_call_count,0.0,0.0,0.0
give_up_count,0.0,0.0,0.0
early_final_answer_count,0.0,0.0,0.0
syntax_error_count,0.0,0.0,0.0
wrong_reasoning_count,0.0,0.0,0.0
wrong_planning_count,0.0,0.0,0.0
hallucination_count,0.0,0.0,0.0
loop_instance_count,0.0,0.0,0.0
non_sense_count,0.0,0.0,0.0
unnecessary_tool_use_count,0.0,0.0,0.0
missing_validation_count,0.0,0.0,0.0
neutral_count,0.0,0.0,0.0
reasoning_statement_count,0.0,0.0,0.0
planning_statement_count,0.0,0.0,0.0
backtrack_trigger_count,0.0,0.0,0.0
validation_attempt_count,0.0,0.0,0.0
total_errors,0.0,0.0,0.0
execution_errors,0.0,0.0,0.0
invalid_args_errors,0.0,0.0,0.0
invalid_tool_errors,0.0,0.0,0.0
tools_used_count,0.0,0.0,0.0
failed_calls,0.0,0.0,0.0
qa_score,0.0,0.0,0.0
steps_to_first_error,0.0,0.0,0.0
unique_tool_calls_ratio,0.0,0.0,0.0
steps_to_first_positive_marker,0.0,0.0,0.0
retry_rate,0.0,0.0,0.0
longest_looping_sequence,0.0,0.0,0.0
has_tool_error_in_first_step,0.0,0.0,0.0
has_planning_in_first_step,0.0,0.0,0.0
assistant_steps_count,0.0,0.0,0.0
negative_markers_steps_21_plus,0.0,0.0,0.0
positive_markers_steps_21_plus,0.0,0.0,0.0
negative_markers_steps_11_20,0.0,0.0,0.0
positive_markers_steps_11_20,0.0,0.0,0.0
negative_markers_steps_6_10,0.0,0.0,0.0
positive_markers_steps_6_10,0.0,0.0,0.0
negative_markers_steps_1_5,0.0,0.0,0.0
positive_markers_steps_1_5,0.0,0.0,0.0
early_negative_rate,0.0,0.0,0.0
marker_trajectory_slope,0.0,0.0,0.0
assistant_steps_to_first_reasoning,0.0,0.0,0.0
assistant_steps_to_first_planning,0.0,0.0,0.0
assistant_steps_to_first_negative_marker,0.0,0.0,0.0
assistant_steps_to_first_positive_marker,0.0,0.0,0.0
assistant_steps_to_first_error,0.0,0.0,0.0
assistant_steps_to_first_tool_call,0.0,0.0,0.0
steps_to_first_planning,0.0,0.0,0.0
steps_to_first_negative_marker,0.0,0.0,0.0
agent_type_ToolCallingAgent,0.0,0.0,0.0
