feature,mean_abs_shap,mean_shap,abs_mean_shap
avg_message_length,1.3373108,0.4494572,0.4494572
tool_latency_mean,0.6433199,0.25399676,0.25399676
prompt_tokens,0.3761597,0.2025366,0.2025366
completion_tokens,0.34682682,-0.0009908266,0.0009908266
tool_latency_std,0.31287318,-0.14397326,0.14397326
avg_words_per_message,0.26374486,0.13209428,0.13209428
annotatable_steps_count,0.2244386,0.014020155,0.014020155
tool_latency_max,0.22341585,0.08005158,0.08005158
tool_execution_duration,0.17673117,0.001077782,0.001077782
neutral_marker_ratio,0.15425743,0.03633165,0.03633165
positive_marker_ratio,0.14244945,0.07230833,0.07230833
message_length_std,0.14019029,0.027088827,0.027088827
marker_balance_ratio,0.132526,0.033923965,0.033923965
self_correction_marker_ratio,0.12555087,-0.004105538,0.004105538
total_markers,0.117658146,0.024365991,0.024365991
verification_marker_ratio,0.10414281,-0.010007289,0.010007289
tool_gini_coefficient,0.09650615,0.03228349,0.03228349
avg_assistant_message_length,0.09060547,0.055573698,0.055573698
total_message_length,0.073166296,0.024446266,0.024446266
marker_balance,0.07164385,0.023189954,0.023189954
thought_to_action_ratio,0.06261254,0.016198676,0.016198676
tool_diversity_entropy,0.06172878,0.05995767,0.05995767
most_used_tool_ratio,0.056715682,0.027955318,0.027955318
unique_tool_calls_ratio,0.0501164,0.019471431,0.019471431
avg_thought_length,0.04577105,0.007318998,0.007318998
planning_to_total_ratio,0.040377513,0.012446332,0.012446332
verification_marker_count,0.035204764,-0.004236642,0.004236642
success_rate,0.029818311,0.009140294,0.009140294
total_tokens,0.024454946,0.013935964,0.013935964
error_rate,0.019208642,0.010955476,0.010955476
step_count,0.018234525,0.008301049,0.008301049
tool_repetition_rate,0.01773149,0.0010862408,0.0010862408
self_correction_marker_count,0.01751052,0.0072755967,0.0072755967
max_consecutive_successes,0.014514059,-0.00038112505,0.00038112505
tool_switching_rate,0.012943789,0.010038017,0.010038017
top3_tool_concentration,0.012744446,0.0059140488,0.0059140488
positive_marker_count,0.012593861,0.003619448,0.003619448
avg_tools_per_step,0.012447841,0.00074967224,0.00074967224
confidence_marker_ratio,0.010389457,0.0049588587,0.0049588587
neutral_count,0.009086189,0.0028441334,0.0028441334
steps_to_first_planning,0.00825614,5.771792e-05,5.771792e-05
successful_calls,0.0071963496,0.0028456922,0.0028456922
neutral_marker_count,0.0063064895,0.00078163407,0.00078163407
planning_statement_count,0.0035333547,-0.001715974,0.001715974
negative_marker_count,0.0022921397,-0.0009860732,0.0009860732
most_used_tool_count,0.0,0.0,0.0
rare_tool_ratio,0.0,0.0,0.0
max_tool_burst_length,0.0,0.0,0.0
model_gpt-4o,0.0,0.0,0.0
question_count,0.0,0.0,0.0
reasoning_to_total_ratio,0.0,0.0,0.0
negative_marker_ratio,0.0,0.0,0.0
validation_to_total_ratio,0.0,0.0,0.0
backtrack_to_total_ratio,0.0,0.0,0.0
thought_count,0.0,0.0,0.0
validation_after_error_rate,0.0,0.0,0.0
backtrack_after_error_rate,0.0,0.0,0.0
problem_marker_count,0.0,0.0,0.0
problem_marker_ratio,0.0,0.0,0.0
recovery_marker_count,0.0,0.0,0.0
recovery_marker_ratio,0.0,0.0,0.0
code_block_count,0.0,0.0,0.0
uncertainty_marker_count,0.0,0.0,0.0
uncertainty_marker_ratio,0.0,0.0,0.0
confidence_marker_count,0.0,0.0,0.0
action_count,0.0,0.0,0.0
level,0.0,0.0,0.0
has_reasoning_in_first_step,0.0,0.0,0.0
max_consecutive_failures,0.0,0.0,0.0
error_burstiness,0.0,0.0,0.0
qa_score,0.0,0.0,0.0
misunderstood_tool_count,0.0,0.0,0.0
inefficient_tool_call_count,0.0,0.0,0.0
give_up_count,0.0,0.0,0.0
early_final_answer_count,0.0,0.0,0.0
syntax_error_count,0.0,0.0,0.0
wrong_reasoning_count,0.0,0.0,0.0
wrong_planning_count,0.0,0.0,0.0
hallucination_count,0.0,0.0,0.0
loop_instance_count,0.0,0.0,0.0
non_sense_count,0.0,0.0,0.0
unnecessary_tool_use_count,0.0,0.0,0.0
missing_validation_count,0.0,0.0,0.0
reasoning_statement_count,0.0,0.0,0.0
backtrack_trigger_count,0.0,0.0,0.0
validation_attempt_count,0.0,0.0,0.0
total_errors,0.0,0.0,0.0
execution_errors,0.0,0.0,0.0
invalid_args_errors,0.0,0.0,0.0
invalid_tool_errors,0.0,0.0,0.0
tools_used_count,0.0,0.0,0.0
failed_calls,0.0,0.0,0.0
total_calls,0.0,0.0,0.0
steps_to_first_tool_call,0.0,0.0,0.0
steps_to_first_error,0.0,0.0,0.0
steps_to_first_positive_marker,0.0,0.0,0.0
positive_markers_steps_6_10,0.0,0.0,0.0
retry_rate,0.0,0.0,0.0
longest_looping_sequence,0.0,0.0,0.0
has_tool_error_in_first_step,0.0,0.0,0.0
has_planning_in_first_step,0.0,0.0,0.0
assistant_steps_count,0.0,0.0,0.0
negative_markers_steps_21_plus,0.0,0.0,0.0
positive_markers_steps_21_plus,0.0,0.0,0.0
negative_markers_steps_11_20,0.0,0.0,0.0
positive_markers_steps_11_20,0.0,0.0,0.0
negative_markers_steps_6_10,0.0,0.0,0.0
negative_markers_steps_1_5,0.0,0.0,0.0
steps_to_first_negative_marker,0.0,0.0,0.0
positive_markers_steps_1_5,0.0,0.0,0.0
early_negative_rate,0.0,0.0,0.0
marker_trajectory_slope,0.0,0.0,0.0
assistant_steps_to_first_reasoning,0.0,0.0,0.0
assistant_steps_to_first_planning,0.0,0.0,0.0
assistant_steps_to_first_negative_marker,0.0,0.0,0.0
assistant_steps_to_first_positive_marker,0.0,0.0,0.0
assistant_steps_to_first_error,0.0,0.0,0.0
assistant_steps_to_first_tool_call,0.0,0.0,0.0
steps_to_first_reasoning,0.0,0.0,0.0
agent_type_ToolCallingAgent,0.0,0.0,0.0
