feature,mean_abs_shap,mean_shap,abs_mean_shap
level,2.0430412,0.9811653,0.9811653
positive_marker_ratio,0.46458423,0.21242888,0.21242888
tool_switching_rate,0.45745727,0.29440418,0.29440418
assistant_steps_to_first_tool_call,0.32089686,0.1763592,0.1763592
completion_tokens,0.30165565,0.111039944,0.111039944
tool_latency_std,0.28974968,0.034483023,0.034483023
tool_latency_mean,0.27829194,0.114228904,0.114228904
give_up_count,0.20915039,0.09992827,0.09992827
validation_to_total_ratio,0.20143002,0.105621405,0.105621405
confidence_marker_ratio,0.1926253,0.058681883,0.058681883
prompt_tokens,0.19191507,0.112315655,0.112315655
assistant_steps_count,0.17947875,0.0015024779,0.0015024779
retry_rate,0.14724965,-0.022990486,0.022990486
early_final_answer_count,0.14610559,0.023596821,0.023596821
uncertainty_marker_count,0.13224256,0.059193954,0.059193954
problem_marker_ratio,0.11933327,0.06596964,0.06596964
tool_latency_max,0.114284016,0.011044222,0.011044222
message_length_std,0.110905714,0.010656293,0.010656293
confidence_marker_count,0.11015275,0.047205705,0.047205705
rare_tool_ratio,0.10565276,0.01344777,0.01344777
max_consecutive_successes,0.08984805,0.050461307,0.050461307
unique_tool_calls_ratio,0.07515444,-0.020398708,0.020398708
neutral_marker_ratio,0.071807824,-0.008379013,0.008379013
avg_tools_per_step,0.06466366,-0.0023201876,0.0023201876
avg_thought_length,0.06105499,0.011087518,0.011087518
uncertainty_marker_ratio,0.058041375,0.033719152,0.033719152
max_tool_burst_length,0.057427656,0.02523026,0.02523026
most_used_tool_ratio,0.055606127,0.0077873277,0.0077873277
self_correction_marker_count,0.054517422,0.008403047,0.008403047
problem_marker_count,0.054336756,0.028644683,0.028644683
total_tokens,0.052400928,0.024427362,0.024427362
tool_gini_coefficient,0.051015988,0.0316276,0.0316276
thought_to_action_ratio,0.0500716,0.0009748029,0.0009748029
negative_marker_count,0.048387367,0.015928317,0.015928317
tool_diversity_entropy,0.04237843,-0.0009778698,0.0009778698
avg_words_per_message,0.04163243,0.024206381,0.024206381
hallucination_count,0.038893487,0.020138178,0.020138178
missing_validation_count,0.038709603,-0.0044627273,0.0044627273
annotatable_steps_count,0.03593917,-0.0061665303,0.0061665303
code_block_count,0.03507961,0.013150704,0.013150704
unnecessary_tool_use_count,0.033246394,0.007542205,0.007542205
total_calls,0.03248312,0.019311137,0.019311137
total_message_length,0.030279078,0.015213595,0.015213595
tool_repetition_rate,0.027668115,0.017815096,0.017815096
avg_message_length,0.027178455,0.0139525635,0.0139525635
neutral_marker_count,0.02606932,-0.015952198,0.015952198
successful_calls,0.025876805,0.009749306,0.009749306
backtrack_to_total_ratio,0.025392218,0.012974055,0.012974055
marker_balance_ratio,0.02437919,-0.0061304877,0.0061304877
tools_used_count,0.024177171,0.007879761,0.007879761
marker_balance,0.022656402,0.004658299,0.004658299
step_count,0.0217766,0.014203918,0.014203918
has_tool_error_in_first_step,0.019245427,-0.0012950051,0.0012950051
top3_tool_concentration,0.016895028,0.008961751,0.008961751
verification_marker_ratio,0.016514728,0.0047874516,0.0047874516
wrong_planning_count,0.016079152,-0.0084036235,0.0084036235
error_rate,0.01536066,-0.010975034,0.010975034
backtrack_trigger_count,0.014320263,0.013988752,0.013988752
total_markers,0.013414046,-0.00095882954,0.00095882954
most_used_tool_count,0.0119608715,0.007942641,0.007942641
negative_marker_ratio,0.011376007,0.0028073904,0.0028073904
verification_marker_count,0.011319498,0.00036229295,0.00036229295
failed_calls,0.009962172,0.007313713,0.007313713
action_count,0.009652776,0.0016580679,0.0016580679
tool_execution_duration,0.009414174,0.00316697,0.00316697
reasoning_to_total_ratio,0.008698006,-0.0014112265,0.0014112265
positive_marker_count,0.007445829,-0.0027514754,0.0027514754
error_burstiness,0.0051542036,0.0013411355,0.0013411355
self_correction_marker_ratio,0.0050624907,0.001510144,0.001510144
syntax_error_count,0.0048111985,-0.0013338315,0.0013338315
recovery_marker_count,0.004445044,-0.0018324228,0.0018324228
steps_to_first_reasoning,0.0039692475,-0.0007736755,0.0007736755
recovery_marker_ratio,0.0031518985,0.0015161675,0.0015161675
wrong_reasoning_count,0.0027374635,-0.001705765,0.001705765
question_count,0.0,0.0,0.0
model_gpt-4o,0.0,0.0,0.0
thought_count,0.0,0.0,0.0
planning_to_total_ratio,0.0,0.0,0.0
validation_after_error_rate,0.0,0.0,0.0
backtrack_after_error_rate,0.0,0.0,0.0
avg_assistant_message_length,0.0,0.0,0.0
has_reasoning_in_first_step,0.0,0.0,0.0
success_rate,0.0,0.0,0.0
non_sense_count,0.0,0.0,0.0
steps_to_first_positive_marker,0.0,0.0,0.0
steps_to_first_error,0.0,0.0,0.0
steps_to_first_tool_call,0.0,0.0,0.0
qa_score,0.0,0.0,0.0
misunderstood_tool_count,0.0,0.0,0.0
inefficient_tool_call_count,0.0,0.0,0.0
loop_instance_count,0.0,0.0,0.0
neutral_count,0.0,0.0,0.0
max_consecutive_failures,0.0,0.0,0.0
reasoning_statement_count,0.0,0.0,0.0
planning_statement_count,0.0,0.0,0.0
validation_attempt_count,0.0,0.0,0.0
total_errors,0.0,0.0,0.0
execution_errors,0.0,0.0,0.0
invalid_args_errors,0.0,0.0,0.0
invalid_tool_errors,0.0,0.0,0.0
steps_to_first_negative_marker,0.0,0.0,0.0
steps_to_first_planning,0.0,0.0,0.0
assistant_steps_to_first_error,0.0,0.0,0.0
assistant_steps_to_first_positive_marker,0.0,0.0,0.0
longest_looping_sequence,0.0,0.0,0.0
has_planning_in_first_step,0.0,0.0,0.0
negative_markers_steps_21_plus,0.0,0.0,0.0
positive_markers_steps_21_plus,0.0,0.0,0.0
negative_markers_steps_11_20,0.0,0.0,0.0
positive_markers_steps_11_20,0.0,0.0,0.0
negative_markers_steps_6_10,0.0,0.0,0.0
positive_markers_steps_6_10,0.0,0.0,0.0
negative_markers_steps_1_5,0.0,0.0,0.0
positive_markers_steps_1_5,0.0,0.0,0.0
early_negative_rate,0.0,0.0,0.0
marker_trajectory_slope,0.0,0.0,0.0
assistant_steps_to_first_reasoning,0.0,0.0,0.0
assistant_steps_to_first_planning,0.0,0.0,0.0
assistant_steps_to_first_negative_marker,0.0,0.0,0.0
agent_type_ToolCallingAgent,0.0,0.0,0.0
