feature,logreg,rf,xgb,avg_importance
level,1.0,0.9755780409384105,0.9467077139049499,0.9740952516144534
avg_tools_per_step,0.2842125760974936,0.8050955137198686,0.9249502845411877,0.6714194581195168
planning_to_total_ratio,0.035015629451562814,0.7341292504538097,0.9810653214838313,0.5834034004630679
message_length_std,0.5091899014576918,1.0,0.21743281392014768,0.5755409051259465
tool_latency_std,0.3957297916962158,0.4913816294521086,0.5087681399607182,0.46529318703634753
prompt_tokens,0.0118265308319753,0.3000874384585894,1.0,0.4373046564301883
tool_execution_duration,0.2962792647701347,0.3072726025493905,0.7037485475312841,0.4357668049502698
tool_latency_mean,0.43455130969695666,0.32926985591064895,0.4439788998050635,0.402600021804223
total_markers,0.43319760108206473,0.37953968732177057,0.2626438410484348,0.35846037648409007
annotatable_steps_count,0.3939967938183608,0.6703601350798744,0.0,0.35478564296607834
completion_tokens,0.2905290893325869,0.284760459913338,0.44384271411735676,0.3397107544544273
avg_words_per_message,0.3809710091122852,0.6115240942543874,0.0,0.3308317011222242
planning_statement_count,0.42691136417449266,0.2379056885085823,0.23666114322894238,0.30049273197067244
total_message_length,0.1514530794666562,0.5556471019343526,0.19052301527792428,0.29920773222631103
steps_to_first_tool_call,0.12493971090267306,0.31986271940739214,0.44606646486513846,0.29695629839173454
avg_message_length,0.17168967415120787,0.16578613999914402,0.5260982884401761,0.2878580341968427
thought_to_action_ratio,0.5347044489655938,0.3220563905597912,0.0,0.28558694650846167
assistant_steps_count,0.3939967938183608,0.2518954012162979,0.20028888616583507,0.2820603604001646
neutral_marker_count,0.3461672708016015,0.2815574642381513,0.20854900586513936,0.27875791363496405
tool_gini_coefficient,0.12684228181519186,0.4394610004911086,0.26342186974026843,0.2765750506821896
