feature,logreg,rf,xgb,avg_importance
level,0.8365633458828586,0.7920100431706366,0.28000729996650714,0.6361935630066674
self_correction_marker_ratio,0.25222570531366867,0.941802842531971,0.5010874515386167,0.5650386664614188
self_correction_marker_count,0.0571125986728364,0.6033636231094586,1.0,0.5534920739274316
total_markers,0.31715375300092163,1.0,0.12561699335646861,0.48092358211913006
missing_validation_count,1.0,0.09923372981610251,0.050523160798097766,0.3832522968714001
planning_to_total_ratio,0.5422475633739985,0.3734479919006114,0.08305953083148553,0.3329183620353651
avg_tools_per_step,0.21807860899748965,0.6778040581065812,0.03519959883479383,0.3103607553129549
tool_execution_duration,0.2546351035233144,0.5804667276520696,0.084434111611452,0.3065119809289453
give_up_count,0.7838575702320475,0.04312526727233742,0.08245639398926419,0.30314641049788305
tool_latency_mean,0.3127414375436899,0.5057369229615059,0.08982161903393435,0.3027666598463767
qa_score,0.1692679928606354,0.5647890131994183,0.08681928410593566,0.2736254300553298
tool_latency_max,0.3320848274599313,0.45572786589237485,0.030547956337127355,0.2727868832298112
unique_tool_calls_ratio,0.21647272475285495,0.5170392661021899,0.026997281137046778,0.25350309066403054
confidence_marker_ratio,0.42624566787438367,0.22506615773306327,0.08303169814846588,0.24478117458530427
tool_gini_coefficient,0.2191843593356726,0.4990168192580506,0.010575987750706143,0.24292572211480978
completion_tokens,0.5115022822999984,0.18113574718176642,0.03543229723266136,0.24269010890480872
problem_marker_ratio,0.4251956792219938,0.22356361044304815,0.07891183677707728,0.24255704214737306
total_calls,0.2704389838196099,0.3955823611430454,0.03983305384464036,0.23528479960243187
unnecessary_tool_use_count,0.38975120492705806,0.19492653900984785,0.12028166571168483,0.23498646988286362
most_used_tool_count,0.08498131732953798,0.5730999770695281,0.02648578665514931,0.22818902701807178
