feature,logreg,rf,xgb,avg_importance
tool_switching_rate,0.4448783873969578,1.0,0.6025587880656547,0.6824790584875374
tool_latency_mean,1.0,0.6282694784029288,0.2861892180267105,0.6381528988098798
retry_rate,0.4538376412050376,0.7953720689938674,0.5545957622979514,0.6012684908322855
tool_execution_duration,0.6227705547537018,0.6897253710701451,0.36756203073488786,0.5600193188529116
tool_latency_std,0.8102513913141235,0.7607241035181296,0.0842712224887256,0.5517489057736596
most_used_tool_ratio,0.22124548597521207,0.33694877545964824,1.0,0.5193980871449534
tool_latency_max,0.6280345463947493,0.6062509669298338,0.21991388179402685,0.48473313170620336
has_planning_in_first_step,0.9813824545220298,0.12530605222416114,0.2174605978546583,0.4413830348669497
level,0.9479691576162843,0.10776002856833163,0.08200255754486978,0.3792439145764952
success_rate,0.32995641730386455,0.27430790844796815,0.41566084699640127,0.3399750575827447
model_gpt-4o,0.4773471220177889,0.2432616463103985,0.29206386517620114,0.33755754450146286
total_markers,0.2301616064995519,0.41632677101876786,0.3596906523088418,0.3353930099423872
tools_used_count,0.7697612369401399,0.15527103559972955,0.0454666769943033,0.32349964984472424
tool_gini_coefficient,0.6442961380888838,0.1500876057196931,0.1270572455990315,0.3071469964692028
max_consecutive_successes,0.3805693729886771,0.3461236681417755,0.19252275875039063,0.3064052666269477
self_correction_marker_count,0.599028420419861,0.09064436210574954,0.2139517700838844,0.30120818420316503
total_tokens,0.5353332271460481,0.2636691464952637,0.07615985435739933,0.2917207426662371
hallucination_count,0.8558972125982249,0.009994623734830321,0.0,0.2886306121110184
prompt_tokens,0.5331947210541468,0.22278699478217154,0.060202941586590376,0.2720615524743029
tool_diversity_entropy,0.4307252552198074,0.3337057719273248,0.0417152126572505,0.2687154132681276
