feature,logreg,rf,xgb,avg_importance
give_up_count,1.0,0.698491087226822,0.7647414454641017,0.8210775108969747
hallucination_count,0.104079684547887,1.0,1.0,0.7013598948492957
level,0.22750796906019008,0.4356166664375055,0.5538477329119382,0.40565745613654464
problem_marker_ratio,0.22993343167058042,0.6861865757238054,0.20961826455583368,0.3752460906500732
problem_marker_count,0.12894184494039024,0.4539571496108116,0.534373824642519,0.37242427306457365
tool_gini_coefficient,0.16371831687160102,0.5408432458046084,0.40626891765850187,0.3702768267782371
confidence_marker_count,0.17038212862750232,0.6473642145857481,0.2769560772784197,0.36490080683055676
prompt_tokens,0.21192620009886654,0.47329587931769124,0.3027736369986347,0.3293319054717308
total_tokens,0.2041183805094714,0.6319443694576922,0.0,0.27868758332238786
completion_tokens,0.1113374371633252,0.4227269542244718,0.1805663690357281,0.2382102534745084
marker_balance,0.10401766969614178,0.4482241881502434,0.145078081623712,0.2324399798233657
positive_marker_ratio,0.0770129623321268,0.13971243748238943,0.47836164294482414,0.2316956809197801
backtrack_after_error_rate,0.5783004744455993,0.0941764970644209,0.0,0.22415899050334007
negative_marker_count,0.09428603526578037,0.41030299148755756,0.0,0.16819634225111266
recovery_marker_ratio,0.0752674404976583,0.24095530486847364,0.14413342830336587,0.1534520578898326
steps_to_first_error,0.15349844294583465,0.2767684808779462,0.0,0.1434223079412603
total_markers,0.07384270061735804,0.3231673790911441,0.03182104118934811,0.14294370696595007
assistant_steps_to_first_error,0.18378355779061792,0.2349647067936419,0.0,0.13958275486141994
self_correction_marker_count,0.1926682496724168,0.22456741249029186,0.0,0.13907855405423622
max_consecutive_failures,0.15455397627819836,0.21541998483221528,0.0,0.12332465370347122
