Environment,Model,Test ROC-AUC,Test F1,Test Accuracy,Test Precision,Test Recall,CV Mean
md,LogReg,0.9925925925925927,0.8888888888888888,0.96875,1.0,0.8,0.9181818181818182
md,RF,1.0,0.75,0.9375,1.0,0.6,0.9297619047619048
md,XGB,1.0,0.8888888888888888,0.96875,1.0,0.8,0.8646103896103897
retrosynthesis,LogReg,1.0,0.9523809523809523,0.9166666666666666,0.9090909090909091,1.0,0.975
retrosynthesis,RF,1.0,1.0,1.0,1.0,1.0,0.8428571428571429
retrosynthesis,XGB,1.0,1.0,1.0,1.0,1.0,0.8125
afm,LogReg,0.9090909090909091,0.5,0.8571428571428571,1.0,0.3333333333333333,0.7777777777777779
afm,RF,1.0,0.0,0.7857142857142857,0.0,0.0,0.8222222222222222
afm,XGB,1.0,0.5,0.8571428571428571,1.0,0.3333333333333333,0.8233333333333335
catalyst,LogReg,1.0,1.0,1.0,1.0,1.0,
catalyst,RF,1.0,1.0,1.0,1.0,1.0,
catalyst,XGB,0.5,0.9565217391304348,0.9166666666666666,0.9166666666666666,1.0,
ml,LogReg,0.2592592592592593,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.8047619047619048
ml,RF,0.7407407407407407,0.8571428571428571,0.75,0.75,1.0,0.7761904761904762
ml,XGB,0.37037037037037035,0.8571428571428571,0.75,0.75,1.0,0.7476190476190476
resistor,LogReg,1.0,0.9,0.9090909090909091,0.8181818181818182,1.0,0.9943650793650793
resistor,RF,0.9743589743589745,0.9473684210526315,0.9545454545454546,0.9,1.0,0.9915873015873016
resistor,XGB,1.0,0.9473684210526315,0.9545454545454546,0.9,1.0,0.9865873015873017
all,LogReg,0.9596864501679732,0.8723404255319149,0.8846153846153846,0.8723404255319149,0.8723404255319149,0.933723792442328
all,RF,0.9570735349010824,0.8817204301075269,0.8942307692307693,0.8913043478260869,0.8723404255319149,0.9467184804942242
all,XGB,0.9622993654348637,0.8865979381443299,0.8942307692307693,0.86,0.9148936170212766,0.9485874890909216
