feature,importance
message_length_std,0.057142199112939204
level,0.05574667466551389
avg_tools_per_step,0.046004928149914824
planning_to_total_ratio,0.04194975980406447
annotatable_steps_count,0.038305852316111076
tool_switching_rate,0.03545601279142246
avg_words_per_message,0.03494383155624403
total_message_length,0.03175089733526044
assistant_steps_to_first_tool_call,0.029266332867646398
tool_latency_std,0.02807862691059295
tool_gini_coefficient,0.02511176799243446
most_used_tool_ratio,0.02454894395725861
total_markers,0.021687732384203372
tool_diversity_entropy,0.020641241260535476
neutral_marker_ratio,0.019753414649178323
tool_latency_mean,0.018815203668335143
thought_to_action_ratio,0.01840301039496216
steps_to_first_tool_call,0.018277659201183464
tool_execution_duration,0.017558232236828387
error_rate,0.017202948828357812
prompt_tokens,0.017147656159692697
completion_tokens,0.016271838899860117
retry_rate,0.016127474947874917
neutral_marker_count,0.016088812683230796
assistant_steps_count,0.014393857171935483
neutral_count,0.01404865484600915
planning_statement_count,0.013594454222858314
thought_count,0.013591134337210663
positive_marker_count,0.013064961059302804
action_count,0.012831723577876266
error_burstiness,0.010950524450101164
problem_marker_ratio,0.010372404072060627
avg_message_length,0.009473384621996716
agent_type_ToolCallingAgent,0.009284439716861192
confidence_marker_ratio,0.009137627156849263
positive_marker_ratio,0.008941936607829586
tool_latency_max,0.00893536729189291
top3_tool_concentration,0.008909375181054375
most_used_tool_count,0.008701777655270755
max_consecutive_successes,0.008341971227750315
unique_tool_calls_ratio,0.00826509742107701
failed_calls,0.008045728697586586
self_correction_marker_ratio,0.007716119857291608
max_consecutive_failures,0.0074766636027846145
total_errors,0.0069434246603414925
execution_errors,0.006619195715841703
marker_balance_ratio,0.006318587642815282
assistant_steps_to_first_error,0.006086716124138944
verification_marker_ratio,0.006051351556336317
steps_to_first_planning,0.005836868056090025
tools_used_count,0.005823110340082106
total_tokens,0.005666791634945423
validation_to_total_ratio,0.005171731690272228
negative_marker_count,0.005132375368762305
success_rate,0.004915827856954286
avg_assistant_message_length,0.00432285290809171
total_calls,0.004181426803371235
loop_instance_count,0.004050688586487985
marker_balance,0.003963742558523626
step_count,0.003924453226177365
has_planning_in_first_step,0.003849762736144685
recovery_marker_ratio,0.003753056942011947
verification_marker_count,0.0036774657638945075
validation_attempt_count,0.0036121133320326728
max_tool_burst_length,0.003598691005268213
negative_marker_ratio,0.003348689842846282
self_correction_marker_count,0.0033007576339409016
confidence_marker_count,0.003272202998846597
problem_marker_count,0.0027676605801605788
recovery_marker_count,0.002256303757160411
avg_thought_length,0.0022344827586206887
rare_tool_ratio,0.0019214956836934227
successful_calls,0.0015363374213033384
inefficient_tool_call_count,0.0015224262492474412
reasoning_statement_count,0.0011100323624595467
tool_repetition_rate,0.0008711206538918595
validation_after_error_rate,0.0
uncertainty_marker_count,0.0
backtrack_after_error_rate,0.0
invalid_args_errors,0.0
uncertainty_marker_ratio,0.0
invalid_tool_errors,0.0
code_block_count,0.0
question_count,0.0
model_gpt-4o,0.0
reasoning_to_total_ratio,0.0
missing_validation_count,0.0
backtrack_to_total_ratio,0.0
negative_markers_steps_6_10,0.0
steps_to_first_error,0.0
steps_to_first_positive_marker,0.0
steps_to_first_negative_marker,0.0
steps_to_first_reasoning,0.0
misunderstood_tool_count,0.0
assistant_steps_to_first_positive_marker,0.0
assistant_steps_to_first_negative_marker,0.0
assistant_steps_to_first_planning,0.0
assistant_steps_to_first_reasoning,0.0
marker_trajectory_slope,0.0
early_negative_rate,0.0
positive_markers_steps_1_5,0.0
negative_markers_steps_1_5,0.0
positive_markers_steps_6_10,0.0
positive_markers_steps_11_20,0.0
backtrack_trigger_count,0.0
negative_markers_steps_11_20,0.0
positive_markers_steps_21_plus,0.0
negative_markers_steps_21_plus,0.0
give_up_count,0.0
early_final_answer_count,0.0
has_tool_error_in_first_step,0.0
longest_looping_sequence,0.0
syntax_error_count,0.0
wrong_reasoning_count,0.0
wrong_planning_count,0.0
hallucination_count,0.0
non_sense_count,0.0
unnecessary_tool_use_count,0.0
qa_score,0.0
has_reasoning_in_first_step,0.0
