feature,importance
tool_switching_rate,0.06492564593996861
retry_rate,0.051640045342036124
tool_latency_std,0.04939050380301812
tool_execution_duration,0.04478086523791372
tool_latency_mean,0.04079080170967735
tool_latency_max,0.039361235629650035
total_markers,0.027030284530494938
unique_tool_calls_ratio,0.02674847173474501
top3_tool_concentration,0.025333503943905333
max_consecutive_successes,0.022472302729216128
most_used_tool_ratio,0.02187661689539914
tool_diversity_entropy,0.021666062796277422
unnecessary_tool_use_count,0.020139719636031134
message_length_std,0.018299005813027663
completion_tokens,0.018222936381336794
marker_balance_ratio,0.01821071545532103
success_rate,0.017809618142426133
total_tokens,0.01711888965064529
model_gpt-4o,0.015793919519122818
successful_calls,0.014944336690026898
tool_repetition_rate,0.014526093161525613
prompt_tokens,0.014464589543256936
reasoning_to_total_ratio,0.014031256219453331
assistant_steps_to_first_error,0.013394073581575374
problem_marker_ratio,0.013265054335269946
avg_words_per_message,0.013013859564522732
total_calls,0.012869393475583241
negative_marker_ratio,0.012673802938303846
verification_marker_ratio,0.012647549151787427
marker_balance,0.012560485637971262
error_rate,0.012206214136071878
negative_marker_count,0.011986712228791637
planning_to_total_ratio,0.011583122375266059
avg_message_length,0.011483830587864735
rare_tool_ratio,0.011164801660713706
tools_used_count,0.010081072282080385
avg_thought_length,0.009986494669256657
tool_gini_coefficient,0.009744534748934424
steps_to_first_error,0.009540287306215763
confidence_marker_ratio,0.0092956225867436
positive_marker_count,0.008604243344691377
assistant_steps_count,0.008560456283670725
has_planning_in_first_step,0.008135576380841126
avg_tools_per_step,0.007934490065628914
avg_assistant_message_length,0.007913088296694525
annotatable_steps_count,0.007808111015477872
level,0.006996389461308407
positive_marker_ratio,0.006539303176504404
step_count,0.0062709675324633795
total_message_length,0.006000615034003819
neutral_marker_count,0.005974066688322069
recovery_marker_count,0.005921868000786812
self_correction_marker_count,0.0058851437605322385
neutral_count,0.005883617673299536
assistant_steps_to_first_planning,0.005760090253884955
total_errors,0.0052944914274787565
action_count,0.005272047190006144
max_tool_burst_length,0.005261756134926996
steps_to_first_planning,0.005200003436754458
execution_errors,0.0051918279220376585
planning_statement_count,0.0050573061275156215
neutral_marker_ratio,0.004705785239410407
max_consecutive_failures,0.004695885944604303
problem_marker_count,0.004226802494755483
reasoning_statement_count,0.004026454365024519
confidence_marker_count,0.003944764700477612
self_correction_marker_ratio,0.0033628936738270532
failed_calls,0.002858134466620833
loop_instance_count,0.0025960635909281805
error_burstiness,0.0024664146847614503
recovery_marker_ratio,0.002160276042722728
verification_marker_count,0.002158375302784252
most_used_tool_count,0.001993284880689124
thought_count,0.0014999811872846386
backtrack_trigger_count,0.0012542071092002693
uncertainty_marker_ratio,0.001175549272959452
validation_to_total_ratio,0.0011672609105650282
thought_to_action_ratio,0.0009211367997806818
agent_type_ToolCallingAgent,0.000834650334894682
hallucination_count,0.0006489074019108682
uncertainty_marker_count,0.0003994971606918373
backtrack_to_total_ratio,0.0003638834578485499
longest_looping_sequence,0.0
wrong_reasoning_count,0.0
qa_score,0.0
misunderstood_tool_count,0.0
inefficient_tool_call_count,0.0
give_up_count,0.0
early_final_answer_count,0.0
syntax_error_count,0.0
code_block_count,0.0
wrong_planning_count,0.0
steps_to_first_positive_marker,0.0
question_count,0.0
non_sense_count,0.0
missing_validation_count,0.0
validation_attempt_count,0.0
invalid_args_errors,0.0
invalid_tool_errors,0.0
steps_to_first_tool_call,0.0
steps_to_first_reasoning,0.0
steps_to_first_negative_marker,0.0
backtrack_after_error_rate,0.0
negative_markers_steps_21_plus,0.0
positive_markers_steps_21_plus,0.0
negative_markers_steps_11_20,0.0
positive_markers_steps_11_20,0.0
negative_markers_steps_6_10,0.0
positive_markers_steps_6_10,0.0
validation_after_error_rate,0.0
negative_markers_steps_1_5,0.0
has_tool_error_in_first_step,0.0
positive_markers_steps_1_5,0.0
early_negative_rate,0.0
marker_trajectory_slope,0.0
assistant_steps_to_first_reasoning,0.0
assistant_steps_to_first_negative_marker,0.0
assistant_steps_to_first_positive_marker,0.0
assistant_steps_to_first_tool_call,0.0
has_reasoning_in_first_step,0.0
