feature,mean_abs_shap,mean_shap,abs_mean_shap
retry_rate,0.48388875,-0.1251909,0.1251909
total_markers,0.41112146,-0.06525934,0.06525934
tool_latency_mean,0.3933811,-0.021775901,0.021775901
level,0.3656528,-0.11688327,0.11688327
successful_calls,0.2815014,-0.12978928,0.12978928
completion_tokens,0.27251345,-0.19650756,0.19650756
verification_marker_ratio,0.26430914,-0.062008865,0.062008865
tool_execution_duration,0.25871402,-0.04139419,0.04139419
tool_latency_max,0.25804022,0.017666085,0.017666085
max_consecutive_successes,0.24924044,-0.13724905,0.13724905
rare_tool_ratio,0.20567916,-0.08899782,0.08899782
tool_switching_rate,0.19500314,-0.04253848,0.04253848
unique_tool_calls_ratio,0.1790945,-0.09665582,0.09665582
self_correction_marker_count,0.17641594,-0.056470197,0.056470197
neutral_marker_count,0.16376828,-0.051965833,0.051965833
top3_tool_concentration,0.14919654,-0.13865414,0.13865414
most_used_tool_ratio,0.14889708,-0.044546515,0.044546515
message_length_std,0.13861087,-0.07211361,0.07211361
prompt_tokens,0.12485328,-0.0178794,0.0178794
marker_balance,0.122685306,-0.031340647,0.031340647
verification_marker_count,0.12211135,-0.036613714,0.036613714
model_gpt-4o,0.110255666,-0.064477354,0.064477354
tool_diversity_entropy,0.08923513,-0.06748162,0.06748162
step_count,0.08303364,-0.037502196,0.037502196
negative_marker_count,0.08126184,-0.003987523,0.003987523
avg_tools_per_step,0.08101421,-0.027705578,0.027705578
has_planning_in_first_step,0.06733625,-0.013202954,0.013202954
negative_marker_ratio,0.058671825,0.003546182,0.003546182
positive_marker_ratio,0.057188965,0.00018343632,0.00018343632
total_message_length,0.05436901,0.024561625,0.024561625
neutral_marker_ratio,0.053262033,-0.008296596,0.008296596
tool_gini_coefficient,0.053105947,-0.017336074,0.017336074
self_correction_marker_ratio,0.043203887,-0.008306891,0.008306891
reasoning_to_total_ratio,0.039432902,-0.019605968,0.019605968
total_tokens,0.038952734,-0.02222319,0.02222319
avg_message_length,0.038503453,0.023446143,0.023446143
planning_statement_count,0.036400273,0.0017200739,0.0017200739
success_rate,0.031953905,-0.007734068,0.007734068
steps_to_first_error,0.029417975,-0.018965129,0.018965129
neutral_count,0.02851596,-0.007166816,0.007166816
assistant_steps_count,0.026952267,-0.005886406,0.005886406
total_calls,0.026908536,-0.017263794,0.017263794
marker_balance_ratio,0.024129136,0.0005897755,0.0005897755
tools_used_count,0.022410262,-0.0146336695,0.0146336695
problem_marker_ratio,0.016357016,0.0007010335,0.0007010335
planning_to_total_ratio,0.015328467,0.0020996798,0.0020996798
tool_latency_std,0.0124086235,0.0055742813,0.0055742813
tool_repetition_rate,0.010730201,-0.0023624185,0.0023624185
positive_marker_count,0.007953743,-0.00082392065,0.00082392065
error_rate,0.0,0.0,0.0
avg_words_per_message,0.0,0.0,0.0
question_count,0.0,0.0,0.0
max_tool_burst_length,0.0,0.0,0.0
code_block_count,0.0,0.0,0.0
most_used_tool_count,0.0,0.0,0.0
confidence_marker_ratio,0.0,0.0,0.0
thought_to_action_ratio,0.0,0.0,0.0
action_count,0.0,0.0,0.0
avg_thought_length,0.0,0.0,0.0
confidence_marker_count,0.0,0.0,0.0
validation_to_total_ratio,0.0,0.0,0.0
backtrack_to_total_ratio,0.0,0.0,0.0
validation_after_error_rate,0.0,0.0,0.0
backtrack_after_error_rate,0.0,0.0,0.0
problem_marker_count,0.0,0.0,0.0
recovery_marker_count,0.0,0.0,0.0
thought_count,0.0,0.0,0.0
avg_assistant_message_length,0.0,0.0,0.0
uncertainty_marker_count,0.0,0.0,0.0
uncertainty_marker_ratio,0.0,0.0,0.0
recovery_marker_ratio,0.0,0.0,0.0
has_reasoning_in_first_step,0.0,0.0,0.0
max_consecutive_failures,0.0,0.0,0.0
error_burstiness,0.0,0.0,0.0
qa_score,0.0,0.0,0.0
misunderstood_tool_count,0.0,0.0,0.0
inefficient_tool_call_count,0.0,0.0,0.0
give_up_count,0.0,0.0,0.0
early_final_answer_count,0.0,0.0,0.0
syntax_error_count,0.0,0.0,0.0
wrong_reasoning_count,0.0,0.0,0.0
wrong_planning_count,0.0,0.0,0.0
hallucination_count,0.0,0.0,0.0
loop_instance_count,0.0,0.0,0.0
non_sense_count,0.0,0.0,0.0
unnecessary_tool_use_count,0.0,0.0,0.0
missing_validation_count,0.0,0.0,0.0
reasoning_statement_count,0.0,0.0,0.0
backtrack_trigger_count,0.0,0.0,0.0
validation_attempt_count,0.0,0.0,0.0
total_errors,0.0,0.0,0.0
execution_errors,0.0,0.0,0.0
invalid_args_errors,0.0,0.0,0.0
invalid_tool_errors,0.0,0.0,0.0
failed_calls,0.0,0.0,0.0
steps_to_first_tool_call,0.0,0.0,0.0
steps_to_first_positive_marker,0.0,0.0,0.0
steps_to_first_negative_marker,0.0,0.0,0.0
negative_markers_steps_1_5,0.0,0.0,0.0
longest_looping_sequence,0.0,0.0,0.0
has_tool_error_in_first_step,0.0,0.0,0.0
annotatable_steps_count,0.0,0.0,0.0
negative_markers_steps_21_plus,0.0,0.0,0.0
positive_markers_steps_21_plus,0.0,0.0,0.0
negative_markers_steps_11_20,0.0,0.0,0.0
positive_markers_steps_11_20,0.0,0.0,0.0
negative_markers_steps_6_10,0.0,0.0,0.0
positive_markers_steps_6_10,0.0,0.0,0.0
positive_markers_steps_1_5,0.0,0.0,0.0
steps_to_first_planning,0.0,0.0,0.0
early_negative_rate,0.0,0.0,0.0
