feature,importance
hallucination_count,0.07961736385118763
give_up_count,0.055612019038549586
problem_marker_ratio,0.05463236626920273
confidence_marker_count,0.051541432216911834
total_tokens,0.05031374479682242
tool_gini_coefficient,0.04306051348768288
prompt_tokens,0.03768257023290445
problem_marker_count,0.036142871553412094
marker_balance,0.035686428274861175
level,0.03468265063139631
completion_tokens,0.033656405724194156
negative_marker_count,0.03266724256249561
error_rate,0.025834758046102035
total_markers,0.02572973480593434
steps_to_first_error,0.022035576844599954
recovery_marker_ratio,0.019184226179587163
assistant_steps_to_first_error,0.018707270552977023
execution_errors,0.018285679992382904
self_correction_marker_count,0.01787946538935933
max_consecutive_failures,0.017151171313203824
success_rate,0.013672047539672678
successful_calls,0.012392939516665353
total_calls,0.012245884191836755
failed_calls,0.012183657717608242
confidence_marker_ratio,0.011509922698353518
error_burstiness,0.011218796971726232
positive_marker_ratio,0.011123535969571776
uncertainty_marker_ratio,0.010996331890126271
tool_diversity_entropy,0.009266015234765232
avg_tools_per_step,0.00904285773635738
most_used_tool_count,0.008576069388212326
negative_marker_ratio,0.008471992216383494
positive_marker_count,0.007782050344024034
backtrack_after_error_rate,0.007498084433008372
qa_score,0.0073056034292068835
marker_balance_ratio,0.007303105649634558
max_tool_burst_length,0.007273997542489335
tools_used_count,0.007273600903394739
validation_to_total_ratio,0.007144450659462076
message_length_std,0.007064953324076742
avg_words_per_message,0.006675817592299388
top3_tool_concentration,0.005980934153787888
total_message_length,0.005163484373515721
annotatable_steps_count,0.004443762680209188
reasoning_statement_count,0.004383653372331464
neutral_marker_count,0.0040886126058562785
tool_latency_std,0.003908752789486734
model_gpt-4o,0.0038409547441805507
wrong_reasoning_count,0.0038001806805634587
max_consecutive_successes,0.003693729746129582
backtrack_to_total_ratio,0.0034861660079051403
wrong_planning_count,0.0032775757575757574
missing_validation_count,0.003207282523484613
non_sense_count,0.0030434782608695665
tool_latency_max,0.003026439195794031
avg_thought_length,0.002976190476190475
neutral_marker_ratio,0.002749206349206349
most_used_tool_ratio,0.002694170415100646
self_correction_marker_ratio,0.002666666666666666
tool_repetition_rate,0.002492307692307692
rare_tool_ratio,0.0021331342768083727
avg_message_length,0.0020219860831656618
avg_assistant_message_length,0.002003203074951954
syntax_error_count,0.0019014526491162006
step_count,0.0018733799899719196
reasoning_to_total_ratio,0.0017472543146484073
backtrack_trigger_count,0.0016391576550939106
planning_statement_count,0.001579558652729385
tool_switching_rate,0.0013904764284316307
assistant_steps_to_first_tool_call,0.0013460655523065514
unique_tool_calls_ratio,0.001106002907983105
validation_attempt_count,0.0010586043360433612
total_errors,0.0009956345746804677
recovery_marker_count,0.0008722907524939898
retry_rate,0.0008274550210034115
tool_latency_mean,0.0007356451807817483
uncertainty_marker_count,0.00048738033072236723
action_count,0.00039909370233607265
assistant_steps_count,0.0003418976062825664
tool_execution_duration,0.0002895515046240713
early_final_answer_count,0.0002020202020202021
thought_to_action_ratio,0.0
code_block_count,0.0
thought_count,0.0
question_count,0.0
validation_after_error_rate,0.0
verification_marker_ratio,0.0
verification_marker_count,0.0
has_reasoning_in_first_step,0.0
planning_to_total_ratio,0.0
assistant_steps_to_first_negative_marker,0.0
invalid_tool_errors,0.0
invalid_args_errors,0.0
neutral_count,0.0
unnecessary_tool_use_count,0.0
loop_instance_count,0.0
inefficient_tool_call_count,0.0
misunderstood_tool_count,0.0
steps_to_first_tool_call,0.0
steps_to_first_positive_marker,0.0
steps_to_first_negative_marker,0.0
steps_to_first_planning,0.0
steps_to_first_reasoning,0.0
assistant_steps_to_first_positive_marker,0.0
assistant_steps_to_first_planning,0.0
longest_looping_sequence,0.0
assistant_steps_to_first_reasoning,0.0
marker_trajectory_slope,0.0
early_negative_rate,0.0
positive_markers_steps_1_5,0.0
negative_markers_steps_1_5,0.0
positive_markers_steps_6_10,0.0
negative_markers_steps_6_10,0.0
positive_markers_steps_11_20,0.0
negative_markers_steps_11_20,0.0
positive_markers_steps_21_plus,0.0
negative_markers_steps_21_plus,0.0
has_planning_in_first_step,0.0
has_tool_error_in_first_step,0.0
agent_type_ToolCallingAgent,0.0
