model,agent,level,env_type,verbosity,average_score,success_rate,pass@1,pass@2,pass@3,pass@4,pass@5,total_tasks,total_tool_calls,failed_tool_calls,total_tokens,prompt_tokens,completion_tokens,duration
gpt-4o,ReAct,level_3,tasks,workflow,0.15000000000000002,0.15000000000000002,0.15,0.24999999999999997,0.31799999999999995,0.36519999999999997,0.39864,8,1103,30,1780005,1771700,8305,10632.345441
gpt-4o,ReAct,level_3,tasks,brief,0.225,0.225,0.225,0.32499999999999996,0.381,0.4162,0.43956,8,720,2,1177157,1164628,12529,7929.905143
gpt-4o,ToolCalling,level_3,tasks,comprehensive,0.2,0.2,0.2,0.31,0.374,0.4132,0.43832,8,699,4,1357891,1342097,15794,6628.119917
gpt-4o,ReAct,level_3,tasks,comprehensive,0.2,0.2,0.2,0.32999999999999996,0.416,0.474,0.51392,8,646,9,1291859,1281826,10033,6281.716134
gpt-4o,ToolCalling,level_3,tasks,brief,0.225,0.225,0.225,0.305,0.33899999999999997,0.3554,0.36396,8,711,36,1082221,1067852,14369,6445.041301
gpt-4o,ToolCalling,level_3,tasks,workflow,0.07500000000000001,0.07500000000000001,0.07499999999999998,0.13499999999999995,0.18299999999999994,0.22139999999999999,0.25211999999999996,8,775,31,1419291,1405037,14254,6084.749981
gpt-4o,ReAct,level_2,tasks,brief,0.4,0.4,0.4,0.51,0.562,0.5892000000000001,0.60424,8,356,7,515998,501970,14028,3253.973613
gpt-4o,ToolCalling,level_2,tasks,comprehensive,0.2,0.2,0.2,0.31,0.374,0.4132,0.43832,8,481,28,900886,880040,20846,3505.589716
gpt-4o,ReAct,level_2,tasks,workflow,0.325,0.325,0.325,0.39499999999999996,0.427,0.4454,0.45772,8,412,4,675539,662174,13365,4086.373022
gpt-4o,ReAct,level_2,tasks,comprehensive,0.125,0.125,0.12499999999999999,0.21499999999999997,0.28099999999999997,0.3302,0.36739999999999995,8,380,10,816140,802168,13972,3563.09311
gpt-4o,ToolCalling,level_2,tasks,brief,0.3,0.3,0.3,0.35,0.366,0.3716,0.37368,8,496,72,702942,680255,22687,2928.083866
gpt-4o,ToolCalling,level_2,tasks,workflow,0.35,0.35,0.35,0.41000000000000003,0.446,0.4676,0.48056,8,593,64,873523,858366,15157,3808.333208
gpt-4o,ReAct,level_2,subtasks,brief,0.396,0.396,0.396,0.4664,0.50256,0.524384,0.5388096,50,770,106,1550971,1495105,55866,4887.410928
gpt-4o,ToolCalling,level_2,subtasks,comprehensive,0.40399999999999997,0.404,0.40399999999999997,0.4664,0.49807999999999997,0.517856,0.5317184,50,765,73,3761166,3676427,84739,5275.494454
gpt-4o,ReAct,level_2,subtasks,workflow,0.384,0.384,0.38399999999999995,0.5199999999999999,0.61152,0.677056,0.7257984,50,646,69,2757018,2697959,59059,4670.960597
gpt-4o,ReAct,level_2,subtasks,comprehensive,0.26,0.26,0.26,0.34959999999999997,0.39536,0.422944,0.44144,50,1152,192,4044704,3998287,46417,7327.719445
gpt-4o,ToolCalling,level_2,subtasks,brief,0.508,0.508,0.508,0.62,0.67024,0.696416,0.7114048000000001,50,758,225,1334046,1231189,102857,4950.32885
gpt-4o,ToolCalling,level_2,subtasks,workflow,0.392,0.392,0.392,0.49279999999999996,0.5456,0.578816,0.6019711999999999,50,877,207,2644949,2551595,93354,4781.497771
gpt-4o,ReAct,level_1,tasks,comprehensive,0.975,0.975,0.975,0.995,0.999,0.9998,0.99996,8,222,0,566692,551393,15299,1846.945466
