,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
theta[0],0.43,0.23,0.07,0.79,533,970,1.01,0.0099,0.0067
theta[1],0.22,0.23,-0.15,0.59,499,899,1.01,0.01,0.0072
theta[2],-2.56,0.27,-3,-2.1,506,824,1.00,0.012,0.0085
theta[3],-2.6,0.27,-3,-2.2,507,831,1.00,0.012,0.0086
theta[4],-4.96,0.39,-5.6,-4.4,817,1394,1.00,0.014,0.0098
theta[5],-2.29,0.27,-2.7,-1.9,544,1000,1.00,0.012,0.0084
a[0],0.856,0.273,0.48,1.4,3497,3031,1.00,0.0046,0.004
a[1],2.35,0.91,1.2,4,3894,2732,1.00,0.015,0.018
a[2],2.37,0.94,1.2,4.1,3510,2974,1.00,0.016,0.017
a[3],2.37,0.96,1.2,4.1,4423,3114,1.00,0.015,0.018
a[4],1.19,0.46,0.62,2,3984,2856,1.00,0.0075,0.01
a[5],2.38,0.96,1.2,4.1,3887,2949,1.00,0.016,0.017
a[6],2.33,0.88,1.2,3.9,4434,3069,1.00,0.013,0.014
a[7],1.78,0.63,0.94,2.9,3736,2627,1.00,0.01,0.0098
a[8],1.57,0.71,0.74,2.8,4064,3132,1.00,0.011,0.014
a[9],1.27,0.49,0.66,2.1,3331,2835,1.00,0.0085,0.0091
a[10],0.406,0.129,0.22,0.63,3286,2341,1.00,0.0022,0.0018
a[11],0.843,0.26,0.48,1.3,3057,2323,1.00,0.0045,0.0043
a[12],1.27,0.58,0.61,2.4,2400,2262,1.00,0.012,0.014
a[13],0.85,0.29,0.48,1.4,3153,3094,1.00,0.005,0.0051
a[14],1.23,0.4,0.68,1.9,3725,2762,1.00,0.0063,0.0053
a[15],1.16,0.49,0.58,2,3018,2860,1.00,0.0092,0.011
a[16],1.58,0.73,0.73,2.9,4824,3228,1.00,0.012,0.016
a[17],1.56,0.71,0.74,2.8,3669,2947,1.00,0.013,0.02
a[18],1.57,0.71,0.75,2.9,4248,2960,1.00,0.012,0.016
a[19],1.25,0.53,0.63,2.2,3361,2981,1.00,0.0092,0.014
a[20],0.86,0.281,0.48,1.4,3041,2676,1.00,0.005,0.0046
a[21],1.2,0.44,0.65,2,3338,2907,1.00,0.0077,0.01
a[22],1.53,0.55,0.85,2.5,3836,3298,1.00,0.0091,0.011
a[23],0.753,0.244,0.42,1.2,2773,2364,1.00,0.0043,0.004
a[24],1.72,0.69,0.9,2.9,3177,2639,1.00,0.013,0.019
a[25],1.24,0.54,0.6,2.2,2911,2674,1.00,0.0097,0.011
a[26],1.44,0.57,0.73,2.5,3387,2620,1.00,0.01,0.011
a[27],1.86,0.63,1,3,5004,3033,1.00,0.0093,0.0094
a[28],1.64,0.68,0.82,2.8,3251,2782,1.00,0.013,0.017
a[29],1.3,0.58,0.64,2.4,3517,3123,1.00,0.0098,0.013
a[30],0.685,0.212,0.4,1.1,3451,2984,1.00,0.0035,0.0036
a[31],1.3,0.57,0.63,2.3,3234,3004,1.00,0.0099,0.013
a[32],1.55,0.71,0.74,2.7,3801,2994,1.00,0.014,0.03
a[33],1.55,0.56,0.84,2.5,3467,2731,1.00,0.01,0.012
a[34],1.19,0.49,0.6,2.1,3240,2632,1.00,0.0085,0.011
a[35],1.3,0.382,0.75,2,3635,2380,1.00,0.0061,0.0049
a[36],1.48,0.59,0.77,2.5,3550,2948,1.00,0.011,0.013
