method,held_out,budget,mse,spearman
irt_maxinfo,claude-opus-4.8__react,5,0.08274803078315973,0.9681248023461679
stratified_irt,claude-opus-4.8__react,5,0.08274803078315973,0.9648126568294783
irt_maxinfo,claude-opus-4.8__react,10,0.07164164780443638,0.9788975131335582
stratified_irt,claude-opus-4.8__react,10,0.08274803078315986,0.965034965034965
irt_maxinfo,claude-opus-4.8__react,15,0.0827480307831598,0.9737317909903013
stratified_irt,claude-opus-4.8__react,15,0.09059673054675316,0.9860139860139862
irt_maxinfo,claude-opus-4.8__react,20,0.08860122227252144,0.9930069930069931
stratified_irt,claude-opus-4.8__react,20,0.0886012222725215,0.9860139860139862
irt_maxinfo,claude-opus-4.8__react,25,0.08274803078315973,0.9930069930069931
stratified_irt,claude-opus-4.8__react,25,0.08274803078315986,0.9930069930069931
irt_maxinfo,claude-opus-4.8__react,30,0.05807758161058298,0.9930069930069931
stratified_irt,claude-opus-4.8__react,30,0.08662793622051207,1.0
irt_maxinfo,claude-opus-4.8__react,35,0.06133526482571297,0.9790209790209792
stratified_irt,claude-opus-4.8__react,35,0.07317929435241724,0.9842396880153765
irt_maxinfo,claude-opus-4.8__react,40,0.05413047759167041,0.9930069930069931
stratified_irt,claude-opus-4.8__react,40,0.06899005205975559,1.0
irt_maxinfo,claude-opus-4.8__react,45,0.04498811483884663,0.9860139860139862
stratified_irt,claude-opus-4.8__react,45,0.0591535994724164,1.0
irt_maxinfo,claude-opus-4.8__react,50,0.039863945676776744,0.9860139860139862
stratified_irt,claude-opus-4.8__react,50,0.05182888184698961,1.0
irt_maxinfo,claude-opus-4.8__react,55,0.044645973459438965,0.9860139860139862
stratified_irt,claude-opus-4.8__react,55,0.05605079146541753,0.99124495269876
irt_maxinfo,claude-opus-4.8__react,60,0.030389638348171558,0.9860139860139862
stratified_irt,claude-opus-4.8__react,60,0.050322262461646686,0.9930069930069931
irt_maxinfo,claude-opus-4.8__react,65,0.022260053948210734,0.9930069930069931
stratified_irt,claude-opus-4.8__react,65,0.0381623578636079,0.9930069930069931
irt_maxinfo,claude-opus-4.8__react,70,0.0218033499320959,0.9982502173821435
stratified_irt,claude-opus-4.8__react,70,0.024408126310732487,1.0
irt_maxinfo,claude-opus-4.8__react,75,0.01987900005029923,0.9930069930069931
stratified_irt,claude-opus-4.8__react,75,0.012467860570393808,0.9930069930069931
irt_maxinfo,claude-opus-4.8__react,80,0.012692179719329977,0.99124495269876
stratified_irt,claude-opus-4.8__react,80,0.00642555737890446,1.0
irt_maxinfo,claude-opus-4.8__react,85,0.005067871760852494,1.0
stratified_irt,claude-opus-4.8__react,85,0.003257137755110019,1.0
irt_maxinfo,claude-opus-4.8__react,90,0.0008929217734408553,1.0
