participant_id	HSNS1	HSNS2	HSNS3	HSNS4	HSNS5	HSNS6	HSNS7	HSNS8	HSNS9	HSNS10	gender
R00000	3	4	5	3	4	5	5	4	4	4	1
R00001	4	3	3	2	4	2	0	2	4	2	1
R00002	4	2	5	3	2	4	4	5	5	5	2
R00003	5	5	4	4	4	5	4	3	5	2	1
R00004	4	5	5	2	4	5	5	4	4	3	1
R00005	3	2	5	2	3	4	2	1	5	2	2
R00006	5	3	4	2	3	5	4	4	5	4	1
R00007	5	3	5	5	5	5	5	5	5	4	2
R00008	2	2	5	1	2	4	4	3	4	3	1
R00009	5	5	5	3	3	4	5	5	4	1	1
R00010	5	1	3	2	2	5	4	3	4	4	1
R00011	4	1	1	2	2	4	2	3	2	3	1
R00012	4	5	5	2	4	4	5	5	5	2	1
R00013	5	1	4	2	4	3	3	5	4	4	2
R00014	4	1	3	3	4	5	1	5	5	4	1
R00015	5	2	5	4	4	5	4	3	4	4	2
R00016	5	5	5	5	3	4	4	5	5	2	2
R00017	4	2	4	1	2	5	0	3	5	3	1
R00018	3	2	4	1	2	3	3	2	3	2	1
R00019	4	4	5	3	3	4	4	4	4	4	2
R00020	4	2	4	2	5	5	4	3	3	4	2
R00021	5	4	5	3	4	5	2	5	5	4	2
R00022	4	4	3	4	5	5	3	3	4	3	1
R00023	4	3	5	2	4	4	5	2	2	4	2
R00024	4	2	2	1	1	2	1	2	2	1	2
R00025	4	5	4	4	2	5	4	4	5	2	2
R00026	5	5	4	5	4	5	5	2	3	4	2
R00027	5	2	4	3	4	5	3	4	4	3	2
R00028	4	4	4	4	5	5	5	4	5	4	2
R00029	2	2	4	2	2	4	2	4	4	2	2
R00030	0	5	4	3	4	3	5	4	5	5	2
R00031	4	3	4	3	4	5	5	5	5	2	2
R00032	4	1	5	3	4	4	4	5	4	0	2
R00033	5	0	5	4	4	4	4	4	4	2	2
R00034	5	4	1	2	5	5	4	2	4	3	2
R00035	5	5	4	5	3	5	5	4	5	4	1
R00036	3	4	4	1	1	4	4	1	3	1	2
R00037	5	2	2	2	5	4	5	4	4	4	2
R00038	5	5	4	2	3	5	4	4	3	3	2
R00039	4	2	4	5	3	5	4	3	5	1	2
R00040	4	5	4	3	2	5	5	2	3	1	2
R00041	5	2	3	3	1	5	1	4	4	4	2
R00042	4	2	2	5	3	1	2	1	5	4	1
R00043	2	4	5	1	1	5	4	3	0	1	1
R00044	5	5	4	2	2	5	5	5	5	2	2
R00045	4	2	5	5	2	5	1	2	3	2	2
R00046	1	1	1	1	2	4	2	1	2	2	1
R00047	2	4	1	2	1	2	2	2	2	4	1
R00048	4	5	4	4	2	3	3	2	2	1	1
R00049	4	4	4	4	4	4	4	4	4	2	1
R00050	2	1	4	4	2	3	4	4	2	4	2
R00051	2	1	2	2	3	0	2	2	1	1	1
R00052	5	4	5	2	2	2	4	4	4	2	1
R00053	5	3	4	3	4	3	5	5	4	5	2
R00054	5	4	4	4	5	5	4	5	5	2	1
R00055	4	2	3	4	4	0	3	4	2	4	2
R00056	4	4	4	3	5	5	3	5	4	4	2
R00057	5	4	4	4	4	5	4	4	5	5	2
R00058	5	5	3	4	5	4	4	5	4	2	2
R00059	4	2	4	3	4	4	4	4	5	1	2
R00060	4	4	5	4	3	5	4	3	4	4	1
R00061	5	2	5	5	4	5	5	2	5	4	2
R00062	4	3	4	3	5	5	4	3	4	3	2
R00063	4	0	4	2	4	4	4	5	3	4	2
R00064	5	2	4	2	4	4	5	4	5	2	1
R00065	4	1	5	4	4	5	4	5	4	2	1
R00066	2	4	2	2	2	4	4	2	2	3	2
R00067	5	3	2	2	4	0	4	4	4	2	1
R00068	2	3	5	2	3	4	2	0	3	4	2
R00069	4	2	2	2	2	4	3	1	3	2	1
R00070	2	0	4	3	3	5	5	0	4	1	1
R00071	5	5	5	4	4	4	5	5	4	4	2
R00072	4	4	5	2	4	5	5	4	5	5	2
R00073	4	2	2	3	3	4	2	5	4	2	1
R00074	2	1	2	3	3	4	1	2	1	3	1
R00075	5	4	2	4	4	3	2	5	2	5	1
R00076	4	5	5	4	4	4	4	5	5	4	1
R00077	1	1	1	1	2	5	4	1	2	2	1
R00078	2	3	1	2	2	4	5	1	2	1	1
R00079	5	4	4	3	4	4	3	0	4	5	2
R00080	4	4	4	2	3	4	3	4	0	2	1
R00081	3	2	3	2	4	3	4	3	2	2	2
R00082	4	4	5	3	5	3	5	2	4	4	2
R00083	4	3	3	2	3	3	3	2	2	3	2
R00084	5	2	1	4	5	4	2	4	4	4	1
R00085	5	4	5	2	4	3	5	2	5	5	2
R00086	4	3	5	3	3	5	3	4	5	5	1
R00087	1	5	5	4	1	4	3	2	4	1	1
R00088	4	3	5	5	3	2	5	5	4	3	2
R00089	4	1	5	1	4	5	4	4	4	5	2
R00090	5	5	4	5	4	4	4	5	5	3	2
R00091	4	4	2	3	2	4	2	2	4	1	1
R00092	2	5	5	3	4	4	5	2	4	1	2
R00093	4	4	5	4	5	5	3	4	5	5	2
R00094	4	4	4	2	2	5	4	2	4	1	2
R00095	5	1	4	2	4	5	4	2	2	4	1
R00096	4	5	5	2	4	5	4	4	5	2	2
R00097	5	4	5	3	5	5	3	5	4	3	2
R00098	3	5	5	1	5	5	5	5	4	2	1
R00099	5	2	5	4	5	4	4	4	5	4	1
R00100	5	4	5	2	4	4	4	4	5	2	2
R00101	4	5	5	4	5	4	5	5	5	5	1
R00102	5	3	5	2	4	4	5	4	5	3	2
R00103	5	4	5	5	4	5	4	2	5	5	2
R00104	4	3	2	5	4	5	2	4	4	4	1
R00105	4	3	4	2	3	4	4	3	4	3	1
R00106	2	3	2	3	1	5	5	3	4	2	1
R00107	3	2	5	4	4	5	4	4	4	2	1
R00108	4	4	5	5	5	3	4	2	5	2	2
R00109	4	3	3	2	3	4	0	4	4	2	2
R00110	2	1	2	3	3	5	2	3	1	2	1
R00111	5	3	2	5	4	5	4	5	4	1	1
R00112	4	4	5	4	3	4	4	5	4	4	2
R00113	5	2	3	2	5	4	2	4	1	2	1
R00114	5	1	2	2	2	2	2	1	3	1	1
R00115	2	1	3	2	4	1	3	2	2	1	1
R00116	4	0	5	4	4	5	3	4	4	1	2
R00117	5	4	5	2	2	3	4	3	5	2	2
R00118	5	4	5	4	4	5	3	2	3	1	2
R00119	5	4	4	5	4	4	4	4	4	5	1
R00120	4	4	0	4	4	5	4	3	4	2	2
R00121	5	5	2	2	1	4	4	2	5	3	2
R00122	4	0	5	3	3	5	4	2	4	3	1
R00123	4	5	5	3	2	4	2	0	5	1	2
R00124	4	1	1	2	3	4	2	4	4	4	1
R00125	5	2	5	3	4	3	4	4	5	5	2
R00126	2	5	4	0	3	4	5	2	5	1	1
R00127	4	4	5	2	2	3	3	4	4	2	2
R00128	5	4	5	3	4	5	4	2	5	1	1
R00129	4	4	5	4	2	2	2	2	4	3	2
R00130	2	1	2	3	2	4	4	4	4	3	1
R00131	3	5	4	4	2	4	4	3	4	4	2
R00132	4	2	4	4	3	5	4	4	4	4	2
R00133	5	1	4	1	3	4	3	3	3	1	2
R00134	3	2	1	2	3	4	4	3	4	1	1
R00135	4	1	4	3	4	5	3	4	2	2	2
R00136	5	3	5	5	5	5	5	5	5	5	2
R00137	3	4	3	4	2	5	4	3	4	3	1
R00138	1	2	5	0	2	5	2	1	2	1	1
R00139	5	1	4	3	5	1	4	5	4	2	1
R00140	3	3	5	3	4	5	4	4	5	2	2
R00141	2	4	3	1	3	4	5	1	4	1	1
R00142	5	4	5	3	3	4	5	5	5	5	2
R00143	4	2	2	5	5	5	2	2	3	3	2
R00144	4	4	3	3	4	5	5	3	4	1	1
R00145	5	5	4	5	4	4	5	2	4	4	1
R00146	5	2	4	4	5	5	5	4	4	5	1
R00147	5	4	2	4	5	5	5	5	5	4	1
R00148	2	2	3	4	2	4	1	2	2	2	2
R00149	2	2	5	4	3	5	1	5	4	4	2
R00150	4	1	3	3	3	4	2	2	1	5	2
R00151	4	2	5	2	4	5	4	4	4	3	1
R00152	4	3	4	3	2	5	4	4	4	4	1
R00153	4	5	5	3	2	3	5	1	5	2	2
R00154	5	3	4	4	4	5	4	3	4	4	2
R00155	4	5	4	3	4	4	2	4	2	1	2
R00156	5	2	4	3	5	0	4	4	5	4	1
R00157	2	4	5	2	4	4	5	3	3	2	2
R00158	2	3	4	3	5	4	4	3	4	1	2
R00159	5	5	5	2	5	4	4	2	4	3	2
R00160	4	2	2	1	2	5	4	2	4	2	1
R00161	5	5	5	4	5	4	5	5	5	4	1
R00162	1	1	4	1	4	4	2	1	1	1	2
R00163	5	2	3	5	5	5	4	5	5	5	1
R00164	4	1	2	1	5	3	2	5	4	2	1
R00165	2	4	5	2	4	4	4	3	5	4	2
R00166	2	2	4	2	2	3	4	1	4	1	1
R00167	2	1	4	3	2	5	2	3	2	1	2
R00168	3	5	5	3	4	4	4	3	5	3	2
R00169	4	4	4	1	3	3	3	3	4	1	2
R00170	0	1	4	3	5	5	2	4	2	1	2
R00171	5	4	5	3	4	4	4	4	3	2	2
R00172	5	3	3	4	5	5	4	2	3	4	2
R00173	5	3	4	4	2	5	2	4	5	1	1
R00174	4	4	5	2	5	5	5	3	4	2	2
R00175	4	2	4	4	2	5	1	2	0	0	1
R00176	5	4	5	3	1	4	4	2	4	1	2
R00177	4	1	5	2	1	4	1	2	4	2	1
R00178	4	5	5	4	3	5	4	5	5	1	1
R00179	4	5	4	4	4	5	4	5	4	5	1
R00180	5	4	1	5	4	5	4	5	4	5	2
R00181	4	5	5	3	3	5	4	4	5	4	2
R00182	3	4	3	3	4	4	3	1	3	2	1
R00183	5	5	5	2	2	4	4	2	3	2	1
R00184	4	1	3	5	5	5	5	5	5	2	1
R00185	5	2	5	2	3	4	4	2	4	1	2
R00186	5	3	5	3	3	5	4	3	0	2	2
R00187	4	4	4	1	2	5	2	2	5	2	2
R00188	5	4	4	5	4	2	2	5	5	5	1
R00189	2	2	2	4	2	5	2	4	4	2	2
R00190	5	5	4	4	4	4	5	5	4	4	2
R00191	5	1	4	2	1	3	4	5	4	2	2
R00192	2	5	5	2	1	4	3	2	4	1	1
R00193	3	2	4	2	3	5	2	4	5	3	1
R00194	4	1	4	5	2	4	0	5	2	2	1
R00195	4	2	4	2	3	5	2	4	5	4	2
R00196	5	5	4	4	5	5	2	5	5	4	1
R00197	5	2	5	4	5	5	3	5	4	4	2
R00198	3	5	4	3	3	5	4	4	4	2	1
R00199	5	1	1	5	3	5	1	5	4	2	1
R00200	4	5	2	3	3	4	4	3	5	2	1
R00201	3	5	5	4	4	5	5	1	4	4	2
R00202	4	2	5	3	2	5	4	3	2	1	2
R00203	2	4	4	1	1	4	2	1	1	1	1
R00204	5	2	4	1	4	4	4	2	2	1	1
R00205	4	5	5	3	4	5	4	3	5	4	1
R00206	2	2	4	1	0	4	1	3	3	1	2
R00207	5	5	5	2	2	4	4	4	5	2	2
R00208	5	2	3	5	3	4	2	4	4	4	2
R00209	2	2	4	2	1	4	4	3	4	1	1
R00210	4	4	5	4	5	5	5	5	5	4	2
R00211	4	4	4	2	2	3	5	4	4	2	2
R00212	1	4	3	3	2	3	4	2	5	1	1
R00213	5	5	5	3	5	5	4	5	4	5	1
R00214	4	2	0	4	1	4	3	1	3	1	1
R00215	5	5	4	1	2	5	3	1	5	2	2
R00216	4	5	2	3	4	5	5	1	4	1	2
R00217	4	2	2	3	4	4	5	3	3	3	1
R00218	5	2	5	2	4	4	4	4	2	3	2
R00219	1	1	3	2	1	2	2	1	2	1	1
R00220	5	4	5	1	4	5	4	5	5	1	1
R00221	2	2	5	2	4	2	5	5	3	2	2
R00222	3	2	3	4	4	4	2	4	4	5	1
R00223	5	1	2	2	4	2	3	3	2	1	1
R00224	5	4	4	3	4	4	4	2	3	1	1
R00225	5	4	5	4	4	4	4	5	4	4	1
R00226	5	1	4	3	3	4	1	5	5	5	1
R00227	3	5	5	3	4	5	5	3	5	3	2
R00228	4	5	4	1	2	5	4	2	2	3	2
R00229	4	4	2	2	3	5	2	3	4	3	1
R00230	3	4	1	3	3	4	5	2	4	2	1
R00231	3	1	2	4	4	2	3	4	4	4	1
R00232	4	1	5	4	4	5	3	5	2	4	2
R00233	5	4	5	4	5	5	4	5	5	5	1
R00234	4	3	3	3	1	2	2	2	3	2	1
R00235	5	3	4	3	4	4	4	4	3	2	1
R00236	4	5	4	2	5	3	4	4	5	1	1
R00237	3	2	5	5	4	4	4	3	3	3	2
R00238	5	1	2	3	4	5	2	3	4	3	2
R00239	5	1	1	3	3	3	4	4	2	4	1
R00240	4	4	5	2	5	4	5	4	5	2	2
R00241	2	3	4	1	1	2	4	1	4	1	1
R00242	4	4	4	4	4	4	5	4	4	2	2
R00243	5	5	5	3	3	4	5	5	5	5	2
R00244	2	3	4	3	4	5	3	5	4	2	1
R00245	0	3	4	1	3	4	3	1	4	1	2
R00246	4	1	1	2	4	4	4	2	5	1	1
R00247	3	4	5	1	2	3	5	1	4	1	1
R00248	4	4	4	2	3	5	4	4	4	1	1
R00249	3	2	4	2	3	4	4	1	3	2	2
R00250	2	2	5	1	2	1	2	1	4	3	2
R00251	0	4	5	2	5	2	4	5	4	3	2
R00252	1	4	4	1	1	3	5	1	3	2	1
R00253	5	4	4	2	3	5	4	5	4	3	2
R00254	5	3	5	4	5	4	4	5	5	5	2
R00255	4	3	3	1	4	4	4	2	4	2	1
R00256	5	2	5	4	4	2	5	4	4	4	2
R00257	4	5	4	4	5	4	4	5	5	4	1
R00258	4	2	3	2	4	5	4	4	2	2	1
R00259	4	3	3	4	2	5	2	2	3	1	2
R00260	5	4	5	2	5	4	4	3	4	2	2
R00261	3	2	4	2	4	4	4	3	4	5	1
R00262	4	4	5	5	3	4	4	5	4	1	1
R00263	5	5	3	4	3	5	4	2	5	5	1
R00264	5	2	4	4	5	2	4	5	5	5	2
R00265	4	2	2	2	2	3	2	3	2	1	2
R00266	5	3	5	2	4	4	4	2	4	1	2
R00267	4	2	4	3	4	3	4	4	4	2	1
R00268	3	2	4	4	3	5	3	5	4	5	1
R00269	3	4	4	1	2	4	4	1	3	1	1
R00270	4	1	4	1	2	3	2	2	2	1	1
R00271	0	1	4	2	4	4	2	2	4	2	2
R00272	5	1	4	3	2	4	2	4	4	3	2
R00273	5	4	5	3	1	5	4	4	5	2	1
R00274	5	5	3	3	4	5	4	4	4	2	1
R00275	2	5	4	1	1	4	5	2	3	1	2
R00276	4	4	4	4	3	4	4	2	5	5	1
R00277	2	1	1	2	2	4	1	2	3	2	2
R00278	4	3	5	3	3	5	4	5	4	4	1
R00279	2	2	5	1	3	5	4	2	5	2	2
R00280	4	4	3	5	3	0	3	5	4	5	1
R00281	5	3	4	5	4	4	4	5	4	5	1
R00282	5	4	5	5	5	4	3	4	4	4	1
R00283	5	1	2	4	5	5	4	5	5	5	2
R00284	4	4	2	3	5	4	4	4	4	3	2
R00285	5	4	5	3	0	5	4	4	5	5	2
R00286	5	4	4	5	5	5	5	5	5	4	2
R00287	5	4	5	1	4	5	5	4	5	5	2
R00288	4	2	4	1	4	4	5	4	4	1	1
R00289	5	5	5	4	2	3	4	5	3	5	2
R00290	4	1	2	2	4	2	4	2	1	2	2
R00291	3	3	5	2	2	4	5	3	4	3	2
R00292	3	4	5	3	3	5	4	3	4	1	2
R00293	5	2	4	1	4	5	4	4	4	2	2
R00294	5	4	4	3	4	5	2	2	3	2	2
R00295	4	4	4	4	4	5	4	4	3	2	1
R00296	5	3	5	2	1	4	4	1	3	2	2
R00297	4	4	5	2	1	3	2	2	4	2	2
R00298	4	4	5	3	2	4	4	2	4	2	2
R00299	2	2	5	2	5	4	4	4	4	4	2
R00300	5	4	5	4	4	4	0	3	5	4	2
R00301	4	1	4	4	2	4	5	1	4	1	2
R00302	3	4	5	5	4	5	5	4	0	5	2
R00303	5	5	3	3	3	3	4	3	4	1	1
R00304	3	2	5	2	2	3	4	2	3	4	2
R00305	4	2	1	2	4	4	2	4	0	2	1
R00306	4	1	4	3	5	5	4	5	5	5	2
R00307	2	1	2	1	1	4	1	1	2	1	2
R00308	4	3	3	3	3	5	4	4	3	2	2
R00309	5	5	4	5	4	4	4	5	4	4	1
R00310	4	3	3	3	2	3	4	5	4	4	1
R00311	5	1	4	3	5	2	2	4	4	5	2
R00312	5	3	5	5	5	4	4	5	4	5	2
R00313	5	4	4	5	5	5	4	4	5	5	2
R00314	3	1	4	0	4	4	4	4	1	1	1
R00315	4	3	5	3	3	4	4	2	5	2	1
R00316	3	2	2	4	2	5	2	4	2	2	1
R00317	5	4	4	4	4	3	3	3	4	4	2
R00318	4	3	5	5	4	5	5	4	5	1	1
R00319	4	2	4	2	2	5	4	5	4	1	2
R00320	5	3	4	1	4	3	4	4	4	4	1
R00321	2	4	4	2	4	4	5	3	5	1	2
R00322	0	5	5	4	4	4	4	0	5	3	2
R00323	1	4	5	1	1	5	3	2	2	1	2
R00324	5	4	5	1	2	4	4	5	4	3	2
R00325	4	1	3	1	1	3	1	1	1	1	2
R00326	2	5	5	2	3	4	3	2	4	2	1
R00327	5	5	0	5	4	5	5	4	5	5	1
R00328	5	5	5	4	3	4	4	1	3	1	2
R00329	5	0	5	2	2	3	3	4	3	2	2
R00330	4	3	5	2	3	3	4	3	3	1	1
R00331	5	1	5	2	2	5	3	3	4	3	1
