respondent_id	Q01	Q02	Q03	Q04	Q05	Q06	Q07	Q08	Q09	Q10	Q11	Q12
dataset_03_00000	5	3	2	1	4	4	1	3	2	2	4	2
dataset_03_00001	4	3	5	2	2	3	4	1	3	4	4	3
dataset_03_00002	5	5	5	5	5	4	4	5	5	5	4	5
dataset_03_00003	4	1	2	1	3	3	2	2	2	1	1	1
dataset_03_00004	5	5	2	2	2	4	4	5	5	3	4	4
dataset_03_00005	4	1	2	4	3	3	4	4	3	3	4	2
dataset_03_00006	4	2	3	1	4	4	4	3	2	2	3	2
dataset_03_00007	4	3	4	4	4	4	4	5	4	2	4	4
dataset_03_00008	1	3	4	1	1	4	2	2	3	1	3	1
dataset_03_00009	5	3	5	4	5	5	4	5	5	5	4	5
dataset_03_00010	2	2	4	2	4	4	2	2	3	1	4	1
dataset_03_00011	2	1	2	2	4	4	4	5	2	2	4	3
dataset_03_00012	5	5	5	5	4	5	5	4	4	2	5	4
dataset_03_00013	4	3	5	2	3	5	5	3	4	1	5	2
dataset_03_00014	2	2	2	2	4	4	1	2	4	2	4	2
dataset_03_00015	4	5	5	4	4	5	5	4	4	4	1	4
dataset_03_00016	4	4	4	2	1	3	4	4	3	4	4	4
dataset_03_00017	4	2	3	1	4	5	4	1	4	2	3	2
dataset_03_00018	5	4	5	5	5	5	2	5	4	3	2	1
dataset_03_00019	4	5	4	4	4	5	5	4	4	3	5	5
dataset_03_00020	4	3	4	3	3	4	4	4	4	4	5	3
dataset_03_00021	5	4	4	3	2	4	5	4	4	1	2	4
dataset_03_00022	4	4	3	3	4	3	1	4	4	4	1	3
dataset_03_00023	3	1	2	1	4	5	3	2	2	2	1	1
dataset_03_00024	5	1	1	1	5	4	4	4	5	5	5	1
dataset_03_00025	5	1	2	2	5	5	2	5	4	1	4	1
dataset_03_00026	4	4	4	2	4	5	4	3	4	4	3	2
dataset_03_00027	5	5	5	4	5	5	4	5	5	3	5	4
dataset_03_00028	3	2	5	3	4	4	2	2	3	3	4	3
dataset_03_00029	2	1	1	1	1	2	1	1	1	1	2	1
dataset_03_00030	4	4	1	4	2	4	2	3	1	1	2	1
dataset_03_00031	4	4	4	2	2	5	3	3	5	1	4	4
dataset_03_00032	4	4	2	3	5	5	4	5	5	5	5	4
